Time Freq L_nu packet_count Wavelength L_lambda
1512000.0 316220000000000.0 9.3028e+27 355.0 9487.065966732021 3.100781027891734e+38
1512000.0 316850000000000.0 9.90989e+27 382.0 9468.202619536058 3.316309095478417e+38
1512000.0 317480000000000.0 9.75189e+27 363.0 9449.414136323549 3.2764253873675197e+38
1512000.0 318120000000000.0 8.95016e+27 352.0 9430.40362127499 3.0191972831116795e+38
1512000.0 318750000000000.0 8.27065e+27 354.0 9411.764705882353 2.80103654296875e+38
1512000.0 319390000000000.0 1.0003499999999998e+28 408.0 9392.905225586273 3.4015225196744995e+38
1512000.0 320030000000000.0 1.1393599999999999e+28 460.0 9374.121176139737 3.889744691247466e+38
1512000.0 320670000000000.0 9.81909e+27 391.0 9355.412105903266 3.36563216527167e+38
1512000.0 321310000000000.0 1.0980099999999999e+28 450.0 9336.777566835766 3.778622662632033e+38
1512000.0 321950000000000.0 1.08546e+28 439.0 9318.217114458766 3.750329518055e+38
1512000.0 322600000000000.0 1.17829e+28 475.0 9299.442033477992 4.0875178600133335e+38
1512000.0 323240000000000.0 1.1357699999999999e+28 435.0 9281.02957554758 3.9556634510384e+38
1512000.0 323890000000000.0 1.1436499999999998e+28 439.0 9262.40390255951 3.999143228872167e+38
1512000.0 324540000000000.0 1.1308999999999998e+28 444.0 9243.852837862822 3.970447089948e+38
1512000.0 325190000000000.0 1.11638e+28 441.0 9225.375934069314 3.935185024377266e+38
1512000.0 325840000000000.0 1.1803e+28 456.0 9206.972747360667 4.1771488039893334e+38
1512000.0 326490000000000.0 1.10823e+28 431.0 9188.642837452908 3.9377524962141e+38
1512000.0 327140000000000.0 1.2159699999999998e+28 485.0 9170.385767561289 4.337793805873733e+38
1512000.0 327800000000000.0 1.13855e+28 442.0 9151.921903599756 4.078014366066667e+38
1512000.0 328450000000000.0 1.04519e+28 408.0 9133.810321205663 3.7584824232991666e+38
1512000.0 329110000000000.0 1.04293e+28 402.0 9115.493300112425 3.765442867428433e+38
1512000.0 329770000000000.0 1.0819699999999998e+28 439.0 9097.24959820481 3.922078239673766e+38
1512000.0 330430000000000.0 1.0206599999999999e+28 390.0 9079.07877614018 3.714657534267799e+38
1512000.0 331090000000000.0 1.03275e+28 419.0 9060.980398079073 3.773688745342499e+38
1512000.0 331750000000000.0 9.15266e+27 374.0 9042.954031650339 3.357746754404167e+38
1512000.0 332410000000000.0 1.0105e+28 413.0 9024.999247916729 3.721887346168334e+38
1512000.0 333080000000000.0 8.77293e+27 367.0 9006.845202353788 3.2442963754238403e+38
1512000.0 333740000000000.0 9.23056e+27 375.0 8989.033379277282 3.427072705616853e+38
1512000.0 334410000000000.0 7.99887e+27 317.0 8971.023593792052 2.98171338948549e+38
1512000.0 335080000000000.0 8.47947e+27 340.0 8953.085830249493 3.17354358203536e+38
1512000.0 335750000000000.0 8.16097e+27 333.0 8935.219657483247 3.066567787402083e+38
1512000.0 336420000000000.0 8.53525e+27 351.0 8917.424647761727 3.2200202619269997e+38
1512000.0 337090000000000.0 7.74934e+27 331.0 8899.700376753983 2.935183107313513e+38
1512000.0 337770000000000.0 8.14954e+27 328.0 8881.783462119194 3.0992312946382198e+38
1512000.0 338440000000000.0 7.60837e+27 322.0 8864.20044911949 2.9049170961107734e+38
1512000.0 339120000000000.0 6.96423e+27 308.0 8846.426043878273 2.6696766195590402e+38
1512000.0 339800000000000.0 6.96037e+27 278.0 8828.722778104768 2.6789081336493334e+38
1512000.0 340480000000000.0 6.95526e+27 296.0 8811.09022556391 2.68766618451968e+38
1512000.0 341160000000000.0 7.4455e+27 311.0 8793.527963418923 2.888609430216e+38
1512000.0 341840000000000.0 7.63945e+27 316.0 8776.03557219752 2.9756825465397335e+38
1512000.0 342530000000000.0 7.63057e+27 319.0 8758.356932239512 2.984234557145043e+38
1512000.0 343210000000000.0 8.03953e+27 350.0 8741.004049998543 3.1566706473502436e+38
1512000.0 343900000000000.0 7.9362e+27 339.0 8723.466123873219 3.12864077334e+38
1512000.0 344580000000000.0 8.15656e+27 350.0 8706.251088281386 3.2282407390972804e+38
1512000.0 345270000000000.0 7.30765e+27 323.0 8688.852202624033 2.90384996390895e+38
1512000.0 345960000000000.0 8.64198e+27 373.0 8671.522719389524 3.44781360500256e+38
1512000.0 346660000000000.0 8.36234e+27 373.0 8654.012577164945 3.349762620000347e+38
1512000.0 347350000000000.0 8.14731e+27 357.0 8636.821649632935 3.27663143144825e+38
1512000.0 348040000000000.0 9.06076e+27 401.0 8619.698885185611 3.658488483652053e+38
1512000.0 348740000000000.0 8.49341e+27 374.0 8602.397201353444 3.443216738392387e+38
1512000.0 349440000000000.0 9.62707e+27 409.0 8585.164835164835 3.91848427536384e+38
1512000.0 350140000000000.0 1.00506e+28 424.0 8568.00137088022 4.1072788526392e+38
1512000.0 350840000000000.0 9.82913e+27 421.0 8550.906396077984 4.032849629580427e+38
1512000.0 351540000000000.0 9.80241e+27 430.0 8533.879501621437 4.03795156791852e+38
1512000.0 352240000000000.0 1.0710599999999999e+28 463.0 8516.920281626164 4.4296548743551995e+38
1512000.0 352950000000000.0 9.1511e+27 411.0 8499.787505312368 3.7999546964925e+38
1512000.0 353650000000000.0 9.61622e+27 427.0 8482.963381874735 4.0089483473031666e+38
1512000.0 354360000000000.0 1.067e+28 463.0 8465.966813410092 4.46614224144e+38
1512000.0 355070000000000.0 1.0390699999999998e+28 446.0 8449.038217816205 4.3666814540147656e+38
1512000.0 355780000000000.0 1.0536399999999999e+28 461.0 8432.17718814998 4.445637595552532e+38
1512000.0 356490000000000.0 1.1551399999999999e+28 487.0 8415.383320710258 4.893370187743799e+38
1512000.0 357200000000000.0 1.10125e+28 464.0 8398.6562150056 4.683683793333333e+38
1512000.0 357920000000000.0 1.0546499999999998e+28 438.0 8381.761287438534 4.503591966591999e+38
1512000.0 358630000000000.0 1.0631899999999998e+28 465.0 8365.167442768312 4.558089629510366e+38
1512000.0 359350000000000.0 1.0455e+28 461.0 8348.406845693613 4.5002649241250005e+38
1512000.0 360070000000000.0 1.06521e+28 466.0 8331.713277973728 4.6034969267843e+38
1512000.0 360790000000000.0 9.79025e+27 459.0 8315.086338313145 4.247970680983417e+38
1512000.0 361510000000000.0 1.07837e+28 464.0 8298.525628613317 4.697720488514566e+38
1512000.0 362230000000000.0 9.65355e+27 455.0 8282.030753940866 4.2221594200626506e+38
1512000.0 362960000000000.0 1.0298199999999998e+28 456.0 8265.373594886489 4.522281575163733e+38
1512000.0 363680000000000.0 1.0564299999999998e+28 465.0 8249.010118785745 4.657558384187733e+38
1512000.0 364410000000000.0 1.06966e+28 461.0 8232.485387338438 4.734837442888199e+38
1512000.0 365140000000000.0 1.00258e+28 467.0 8216.026729473626 4.455706794218934e+38
1512000.0 365870000000000.0 1.06494e+28 482.0 8199.633749692513 4.7517926982362e+38
1512000.0 366600000000000.0 1.1301099999999999e+28 501.0 8183.306055646482 5.062725543719999e+38
1512000.0 367340000000000.0 1.14565e+28 510.0 8166.820928839767 5.1530831233713335e+38
1512000.0 368070000000000.0 1.1309899999999999e+28 492.0 8150.623522699487 5.107382130221699e+38
1512000.0 368810000000000.0 1.13145e+28 513.0 8134.2696781540635 5.1300250792114995e+38
1512000.0 369540000000000.0 1.13581e+28 514.0 8118.201006656925 5.170199987113201e+38
1512000.0 370280000000000.0 1.13185e+28 513.0 8101.976882359296 5.172829101901333e+38
1512000.0 371020000000000.0 1.0630299999999999e+28 471.0 8085.817476146838 4.877742934013733e+38
1512000.0 371770000000000.0 1.13304e+28 522.0 8069.5053393227 5.220026049767199e+38
1512000.0 372510000000000.0 1.08866e+28 500.0 8053.475074494644 5.0355496583622e+38
1512000.0 373250000000000.0 1.13943e+28 508.0 8037.508372404554 5.2913443793125e+38
1512000.0 374000000000000.0 9.69316e+27 463.0 8021.39037433155 4.519468160533334e+38
1512000.0 374750000000000.0 1.0821099999999998e+28 491.0 8005.33689126084 5.065629691895832e+38
1512000.0 375500000000000.0 1.0669799999999998e+28 497.0 7989.347536617843 5.014814891499999e+38
1512000.0 376250000000000.0 1.12684e+28 508.0 7973.421926910299 5.317334939583333e+38
1512000.0 377000000000000.0 1.0470199999999999e+28 494.0 7957.559681697613 4.960396852666666e+38
1512000.0 377760000000000.0 1.1457999999999998e+28 533.0 7941.550190597204 5.450288641535999e+38
1512000.0 378510000000000.0 1.04383e+28 485.0 7925.81437742728 4.984977877166099e+38
1512000.0 379270000000000.0 1.1646e+28 528.0 7909.932238247159 5.584091351178e+38
1512000.0 380030000000000.0 1.10057e+28 506.0 7894.113622608741 5.298246732883767e+38
1512000.0 380790000000000.0 1.0688799999999999e+28 514.0 7878.358150161506 5.1662898213335995e+38
1512000.0 381550000000000.0 1.1662799999999998e+28 544.0 7862.665443585375 5.659583727589999e+38
1512000.0 382310000000000.0 1.01883e+28 499.0 7847.035128560592 4.9637715508921e+38
1512000.0 383080000000000.0 1.0530999999999999e+28 494.0 7831.262399498799 5.151424220261333e+38
1512000.0 383840000000000.0 1.1486899999999998e+28 562.0 7815.756565235515 5.641337033975465e+38
1512000.0 384610000000000.0 1.06182e+28 503.0 7800.109201528821 5.2356522152274e+38
1512000.0 385380000000000.0 1.2322899999999998e+28 566.0 7784.524365561264 6.100564374889199e+38
1512000.0 386150000000000.0 1.0941299999999998e+28 535.0 7769.001683283698 5.438257278397499e+38
1512000.0 386920000000000.0 1.2589299999999998e+28 581.0 7753.540783624522 6.2823580760517325e+38
1512000.0 387700000000000.0 1.18527e+28 569.0 7737.941707505804 5.9386487566099996e+38
1512000.0 388470000000000.0 1.1388799999999999e+28 541.0 7722.6040620897365 5.7289058204064e+38
1512000.0 389250000000000.0 1.14848e+28 552.0 7707.129094412331 5.800419774e+38
1512000.0 390030000000000.0 1.08338e+28 537.0 7691.716021844473 5.4935816689013996e+38
1512000.0 390810000000000.0 1.07514e+28 508.0 7676.3644737852155 5.473625761711799e+38
1512000.0 391590000000000.0 1.17238e+28 558.0 7661.074082586379 5.9925315856626e+38
1512000.0 392370000000000.0 1.23064e+28 582.0 7645.844483523205 6.3154072495272e+38
1512000.0 393160000000000.0 1.1644099999999998e+28 564.0 7630.481229016176 5.9996142033498655e+38
1512000.0 393940000000000.0 9.92465e+27 471.0 7615.372899426308 5.133979218922467e+38
1512000.0 394730000000000.0 1.05125e+28 513.0 7600.131735616751 5.4599042087041664e+38
1512000.0 395520000000000.0 1.03999e+28 495.0 7584.9514563106795 5.4230649618431994e+38
1512000.0 396310000000000.0 9.54146e+27 474.0 7569.831697408595 4.9953237585116866e+38
1512000.0 397100000000000.0 9.41966e+27 463.0 7554.772097708385 4.951237360468667e+38
1512000.0 397900000000000.0 9.63796e+27 461.0 7539.582809751194 5.086414435345333e+38
1512000.0 398690000000000.0 1.0737399999999998e+28 531.0 7524.643206501291 5.689165437507132e+38
1512000.0 399490000000000.0 1.02379e+28 512.0 7509.574707752385 5.446298665592633e+38
1512000.0 400290000000000.0 9.18867e+27 451.0 7494.566439331485 4.9077324806904905e+38
1512000.0 401090000000000.0 1.08386e+28 517.0 7479.6180408387145 5.812133788468867e+38
1512000.0 401890000000000.0 1.00571e+28 509.0 7464.729154743835 5.414594200556366e+38
1512000.0 402700000000000.0 1.0605699999999999e+28 513.0 7449.714427613608 5.732992091843333e+38
1512000.0 403500000000000.0 1.04582e+28 526.0 7434.944237918216 5.6757435765e+38
1512000.0 404310000000000.0 1.11994e+28 540.0 7420.048972323218 6.102425241247799e+38
1512000.0 405120000000000.0 1.1130299999999999e+28 543.0 7405.21327014218 6.089098276454399e+38
1512000.0 405930000000000.0 1.0784e+28 536.0 7390.436774813392 5.9232617142719995e+38
1512000.0 406740000000000.0 1.07356e+28 534.0 7375.71913261543 5.9202334924752e+38
1512000.0 407550000000000.0 1.12894e+28 560.0 7361.0599926389405 6.250451666744999e+38
1512000.0 408370000000000.0 1.0791999999999998e+28 553.0 7346.279109630972 5.999130953549332e+38
1512000.0 409190000000000.0 1.2447599999999998e+28 607.0 7331.55746719128 6.9472734365012e+38
1512000.0 410000000000000.0 1.2369499999999998e+28 610.0 7317.073170731707 6.931043166666665e+38
1512000.0 410820000000000.0 1.1224399999999998e+28 563.0 7302.468234263181 6.314588246155198e+38
1512000.0 411650000000000.0 1.2552299999999999e+28 641.0 7287.744443094862 7.0901968851225e+38
1512000.0 412470000000000.0 1.17894e+28 595.0 7273.256236817223 6.6858277223682e+38
1512000.0 413290000000000.0 1.21516e+28 603.0 7258.8255220305355 6.918660255378532e+38
1512000.0 414120000000000.0 1.1301699999999999e+28 590.0 7244.277021153289 6.460630909521599e+38
1512000.0 414950000000000.0 1.04499e+28 561.0 7229.786721291722 5.9976679425825e+38
1512000.0 415780000000000.0 1.2594699999999999e+28 657.0 7215.354273894848 7.257612262984932e+38
1512000.0 416610000000000.0 1.23887e+28 632.0 7200.979333189313 7.1674366335309e+38
1512000.0 417440000000000.0 1.1795999999999998e+28 615.0 7186.661556151782 6.851751959552e+38
1512000.0 418280000000000.0 1.35139e+28 667.0 7172.229128813236 7.881223522672531e+38
1512000.0 419110000000000.0 1.2524599999999999e+28 636.0 7158.025339409702 7.333286565918866e+38
1512000.0 419950000000000.0 1.22565e+28 634.0 7143.707584236218 7.2051061921375e+38
1512000.0 420790000000000.0 1.2101399999999998e+28 621.0 7129.44699256161 7.1424166717458e+38
1512000.0 421630000000000.0 1.1210299999999998e+28 563.0 7115.24322273083 6.642919491353566e+38
1512000.0 422480000000000.0 1.15786e+28 585.0 7100.927854572998 6.888855975138134e+38
