Time Freq L_nu packet_count Wavelength L_lambda
1166400.0 316220000000000.0 7.71751e+27 290.0 9487.065966732021 2.572376982259613e+38
1166400.0 316850000000000.0 8.11406e+27 306.0 9468.202619536058 2.715341036001167e+38
1166400.0 317480000000000.0 7.62185e+27 299.0 9449.414136323549 2.5607777403874664e+38
1166400.0 318120000000000.0 7.22656e+27 294.0 9430.40362127499 2.4377676285388798e+38
1166400.0 318750000000000.0 7.2883e+27 292.0 9411.764705882353 2.4683422265625e+38
1166400.0 319390000000000.0 8.30717e+27 325.0 9392.905225586273 2.8247139330998568e+38
1166400.0 320030000000000.0 7.87216e+27 314.0 9374.121176139737 2.6875344551898136e+38
1166400.0 320670000000000.0 7.95536e+27 335.0 9355.412105903266 2.7268123117636794e+38
1166400.0 321310000000000.0 8.93787e+27 346.0 9336.777566835766 3.0758224549556896e+38
1166400.0 321950000000000.0 8.22229e+27 341.0 9318.217114458766 2.8408505972590834e+38
1166400.0 322600000000000.0 8.28819e+27 326.0 9299.442033477992 2.8751941077479997e+38
1166400.0 323240000000000.0 9.21563e+27 361.0 9281.02957554758 3.209622614551627e+38
1166400.0 323890000000000.0 9.08117e+27 357.0 9262.40390255951 3.1755256866818572e+38
1166400.0 324540000000000.0 8.57494e+27 361.0 9243.852837862822 3.0105531496576796e+38
1166400.0 325190000000000.0 9.15595e+27 377.0 9225.375934069314 3.227427697015983e+38
1166400.0 325840000000000.0 8.85315e+27 364.0 9206.972747360667 3.1331801181088003e+38
1166400.0 326490000000000.0 9.05092e+27 371.0 9188.642837452908 3.2159644498916404e+38
1166400.0 327140000000000.0 7.83439e+27 332.0 9170.385767561289 2.794803195374813e+38
1166400.0 327800000000000.0 9.55455e+27 381.0 9151.921903599756 3.42221177474e+38
1166400.0 328450000000000.0 8.62184e+27 356.0 9133.810321205663 3.1003964921686666e+38
1166400.0 329110000000000.0 9.506e+27 370.0 9115.493300112425 3.432090351008666e+38
1166400.0 329770000000000.0 8.8491e+27 356.0 9097.24959820481 3.2077472157912996e+38
1166400.0 330430000000000.0 8.66887e+27 346.0 9079.07877614018 3.1550059039335434e+38
1166400.0 331090000000000.0 7.73656e+27 323.0 9060.980398079073 2.826954190236453e+38
1166400.0 331750000000000.0 7.2712e+27 311.0 9042.954031650339 2.6675139468333334e+38
1166400.0 332410000000000.0 7.12234e+27 300.0 9024.999247916729 2.6233099575565137e+38
1166400.0 333080000000000.0 7.27667e+27 292.0 9006.845202353788 2.6909680239276267e+38
1166400.0 333740000000000.0 7.58358e+27 322.0 8989.033379277282 2.81559082318536e+38
1166400.0 334410000000000.0 5.99272e+27 257.0 8971.023593792052 2.23388721949944e+38
1166400.0 335080000000000.0 6.08027e+27 275.0 8953.085830249493 2.2756141404524265e+38
1166400.0 335750000000000.0 7.02409e+27 282.0 8935.219657483247 2.6393735217520835e+38
1166400.0 336420000000000.0 6.79503e+27 279.0 8917.424647761727 2.56350244930164e+38
1166400.0 337090000000000.0 6.18453e+27 260.0 8899.700376753983 2.3424869708483103e+38
1166400.0 337770000000000.0 6.98225e+27 284.0 8881.783462119194 2.65531646043675e+38
1166400.0 338440000000000.0 5.75804e+27 252.0 8864.20044911949 2.198451026447147e+38
1166400.0 339120000000000.0 5.48942e+27 236.0 8846.426043878273 2.1043211135961603e+38
1166400.0 339800000000000.0 4.82735e+27 217.0 8828.722778104768 1.8579511116466667e+38
1166400.0 340480000000000.0 6.09698e+27 258.0 8811.09022556391 2.3560078233873063e+38
1166400.0 341160000000000.0 5.73825e+27 240.0 8793.527963418923 2.226252509964e+38
1166400.0 341840000000000.0 5.81623e+27 246.0 8776.03557219752 2.2655104880142934e+38
1166400.0 342530000000000.0 6.5359e+27 268.0 8758.356932239512 2.556120793341033e+38
1166400.0 343210000000000.0 6.15974e+27 265.0 8741.004049998543 2.4185829834964467e+38
1166400.0 343900000000000.0 7.18382e+27 311.0 8723.466123873219 2.8320344951406668e+38
1166400.0 344580000000000.0 5.8147e+27 261.0 8706.251088281386 2.3013686438436e+38
1166400.0 345270000000000.0 5.1913e+27 242.0 8688.852202624033 2.0628733337858997e+38
1166400.0 345960000000000.0 5.9441e+27 250.0 8671.522719389524 2.3714645080752004e+38
1166400.0 346660000000000.0 6.16527e+27 263.0 8654.012577164945 2.46966650342004e+38
1166400.0 347350000000000.0 6.42701e+27 285.0 8636.821649632935 2.5847725170924172e+38
