Time Freq L_nu packet_count Wavelength L_lambda
2808000.0 316220000000000.0 1.04906e+28 4777.0 9487.065966732021 3.4966949145634665e+38
2808000.0 316850000000000.0 1.0637599999999998e+28 4842.0 9468.202619536058 3.559834633286666e+38
2808000.0 317480000000000.0 1.10708e+28 5068.0 9449.414136323549 3.7195507925610664e+38
2808000.0 318120000000000.0 1.1454399999999999e+28 5271.0 9430.40362127499 3.8639637011711996e+38
2808000.0 318750000000000.0 1.22685e+28 5617.0 9411.764705882353 4.1549958984375e+38
2808000.0 319390000000000.0 1.25515e+28 5777.0 9392.905225586273 4.267927216043833e+38
2808000.0 320030000000000.0 1.31666e+28 6063.0 9374.121176139737 4.495042168566466e+38
2808000.0 320670000000000.0 1.3562e+28 6242.0 9355.412105903266 4.648567578605999e+38
2808000.0 321310000000000.0 1.39246e+28 6419.0 9336.777566835766 4.7919244021535326e+38
2808000.0 321950000000000.0 1.43963e+28 6624.0 9318.217114458766 4.974008147769167e+38
2808000.0 322600000000000.0 1.46712e+28 6764.0 9299.442033477992 5.0894764470399996e+38
2808000.0 323240000000000.0 1.4888899999999999e+28 6899.0 9281.02957554758 5.185510935855467e+38
2808000.0 323890000000000.0 1.47841e+28 6853.0 9262.40390255951 5.169740166132033e+38
2808000.0 324540000000000.0 1.49866e+28 6971.0 9243.852837862822 5.2616060092151994e+38
2808000.0 325190000000000.0 1.5130399999999998e+28 7026.0 9225.375934069314 5.333392168691466e+38
2808000.0 325840000000000.0 1.5093399999999999e+28 7027.0 9206.972747360667 5.341640071010134e+38
2808000.0 326490000000000.0 1.5311999999999999e+28 7147.0 9188.642837452908 5.4406455539039995e+38
2808000.0 327140000000000.0 1.5143699999999999e+28 7074.0 9170.385767561289 5.4022918376284e+38
2808000.0 327800000000000.0 1.5069899999999999e+28 7090.0 9151.921903599756 5.397678511719999e+38
2808000.0 328450000000000.0 1.5046999999999999e+28 7064.0 9133.810321205663 5.4108712313916664e+38
2808000.0 329110000000000.0 1.45881e+28 6868.0 9115.493300112425 5.266955317646699e+38
2808000.0 329770000000000.0 1.44902e+28 6839.0 9097.24959820481 5.2526131139052664e+38
2808000.0 330430000000000.0 1.42004e+28 6677.0 9079.07877614018 5.168187530579867e+38
2808000.0 331090000000000.0 1.37854e+28 6502.0 9060.980398079073 5.0372121839791325e+38
2808000.0 331750000000000.0 1.3299399999999998e+28 6273.0 9042.954031650339 4.879020654708332e+38
2808000.0 332410000000000.0 1.31658e+28 6242.0 9024.999247916729 4.8492453658766e+38
2808000.0 333080000000000.0 1.2831e+28 6116.0 9006.845202353788 4.745001589328e+38
2808000.0 333740000000000.0 1.2691699999999999e+28 6043.0 8989.033379277282 4.712106162343067e+38
2808000.0 334410000000000.0 1.22094e+28 5834.0 8971.023593792052 4.5512592975738005e+38
2808000.0 335080000000000.0 1.1735199999999998e+28 5608.0 8953.085830249493 4.3920396727509326e+38
2808000.0 335750000000000.0 1.1943599999999998e+28 5740.0 8935.219657483247 4.487929624249999e+38
2808000.0 336420000000000.0 1.1508399999999999e+28 5573.0 8917.424647761727 4.341674957659199e+38
2808000.0 337090000000000.0 1.2024199999999998e+28 5805.0 8899.700376753983 4.554352850560066e+38
2808000.0 337770000000000.0 1.2482399999999998e+28 6056.0 8881.783462119194 4.746997341223199e+38
2808000.0 338440000000000.0 1.31647e+28 6391.0 8864.20044911949 5.026354146179734e+38
2808000.0 339120000000000.0 1.34085e+28 6496.0 8846.426043878273 5.140031123808e+38
2808000.0 339800000000000.0 1.4260499999999999e+28 6976.0 8828.722778104768 5.4885831413999995e+38
2808000.0 340480000000000.0 1.49512e+28 7316.0 8811.09022556391 5.777474121454933e+38
2808000.0 341160000000000.0 1.55055e+28 7576.0 8793.527963418923 6.015624675336e+38
2808000.0 341840000000000.0 1.57971e+28 7758.0 8776.03557219752 6.1532119139392e+38
2808000.0 342530000000000.0 1.63427e+28 8031.0 8758.356932239512 6.391455696894766e+38
2808000.0 343210000000000.0 1.72618e+28 8474.0 8741.004049998543 6.777736681177934e+38
2808000.0 343900000000000.0 1.74521e+28 8583.0 8723.466123873219 6.880037252136667e+38
2808000.0 344580000000000.0 1.7903099999999998e+28 8827.0 8706.251088281386 7.0857710574228e+38
2808000.0 345270000000000.0 1.85254e+28 9147.0 8688.852202624033 7.3614612250722e+38
2808000.0 345960000000000.0 1.83998e+28 9116.0 8671.522719389524 7.3408039325856e+38
2808000.0 346660000000000.0 1.8573999999999999e+28 9227.0 8654.012577164945 7.440320640381333e+38
2808000.0 347350000000000.0 1.8712699999999998e+28 9283.0 8636.821649632935 7.525750338119165e+38
2808000.0 348040000000000.0 1.84722e+28 9195.0 8619.698885185611 7.458572014678399e+38
2808000.0 348740000000000.0 1.8487299999999998e+28 9188.0 8602.397201353444 7.494726006124932e+38
2808000.0 349440000000000.0 1.8683899999999998e+28 9297.0 8585.164835164835 7.604865068236798e+38
2808000.0 350140000000000.0 1.83396e+28 9138.0 8568.00137088022 7.494662134187199e+38
2808000.0 350840000000000.0 1.7881599999999998e+28 9004.0 8550.906396077984 7.336743326856533e+38
2808000.0 351540000000000.0 1.80687e+28 9048.0 8533.879501621437 7.4431222010964e+38
2808000.0 352240000000000.0 1.7463499999999997e+28 8744.0 8516.920281626164 7.222497142858665e+38
2808000.0 352950000000000.0 1.74301e+28 8767.0 8499.787505312368 7.2377736398175e+38
2808000.0 353650000000000.0 1.6686399999999998e+28 8396.0 8482.963381874735 6.956466855213333e+38
2808000.0 354360000000000.0 1.56998e+28 7883.0 8465.966813410092 6.5714657883935994e+38
2808000.0 355070000000000.0 1.5088499999999998e+28 7609.0 8449.038217816205 6.3409272829454995e+38
2808000.0 355780000000000.0 1.45375e+28 7334.0 8432.17718814998 6.133827165383333e+38
2808000.0 356490000000000.0 1.3808999999999998e+28 7008.0 8415.383320710258 5.8497280782029995e+38
