Time Freq L_nu packet_count Wavelength L_lambda
993600.0 316220000000000.0 6.11065e+27 2506.0 9487.065966732021 2.0367832897715333e+38
993600.0 316850000000000.0 6.25094e+27 2584.0 9468.202619536058 2.0918546197071668e+38
993600.0 317480000000000.0 6.50159e+27 2656.0 9449.414136323549 2.1843944644837867e+38
993600.0 318120000000000.0 6.47059e+27 2681.0 9430.40362127499 2.18275290588432e+38
993600.0 318750000000000.0 6.5818e+27 2753.0 9411.764705882353 2.229070546875e+38
993600.0 319390000000000.0 6.54376e+27 2731.0 9392.905225586273 2.2250959167636532e+38
993600.0 320030000000000.0 6.8858e+27 2905.0 9374.121176139737 2.350793778524067e+38
993600.0 320670000000000.0 7.16724e+27 2951.0 9355.412105903266 2.4566730196201198e+38
993600.0 321310000000000.0 7.2091e+27 3036.0 9336.777566835766 2.4808944032550334e+38
993600.0 321950000000000.0 7.48718e+27 3025.0 9318.217114458766 2.5868656754731666e+38
993600.0 322600000000000.0 7.30845e+27 3072.0 9299.442033477992 2.5353198197399997e+38
993600.0 323240000000000.0 7.6521e+27 3172.0 9281.02957554758 2.6650758774832e+38
993600.0 323890000000000.0 7.59633e+27 3168.0 9262.40390255951 2.65630321197731e+38
993600.0 324540000000000.0 7.58502e+27 3201.0 9243.852837862822 2.66300473836744e+38
993600.0 325190000000000.0 7.80015e+27 3239.0 9225.375934069314 2.7495148128680496e+38
993600.0 325840000000000.0 7.65157e+27 3152.0 9206.972747360667 2.7079341247259738e+38
993600.0 326490000000000.0 7.58719e+27 3209.0 9188.642837452908 2.69587327195173e+38
993600.0 327140000000000.0 7.59656e+27 3175.0 9170.385767561289 2.7099608472205865e+38
993600.0 327800000000000.0 7.63238e+27 3225.0 9151.921903599756 2.733736356530667e+38
993600.0 328450000000000.0 7.78221e+27 3273.0 9133.810321205663 2.79846721643175e+38
993600.0 329110000000000.0 7.1305e+27 3046.0 9115.493300112425 2.5744288078968334e+38
993600.0 329770000000000.0 7.42617e+27 3147.0 9097.24959820481 2.69194337746131e+38
993600.0 330430000000000.0 7.22676e+27 3077.0 9079.07877614018 2.63015484905308e+38
993600.0 331090000000000.0 7.25544e+27 2954.0 9060.980398079073 2.6511519990808797e+38
993600.0 331750000000000.0 6.80394e+27 2943.0 9042.954031650339 2.4960948458874997e+38
993600.0 332410000000000.0 6.67071e+27 2843.0 9024.999247916729 2.45696498158917e+38
993600.0 333080000000000.0 6.65193e+27 2837.0 9006.845202353788 2.4599344105758403e+38
993600.0 333740000000000.0 6.55378e+27 2836.0 8989.033379277282 2.4332522140170936e+38
993600.0 334410000000000.0 6.73011e+27 2813.0 8971.023593792052 2.5087617500609702e+38
993600.0 335080000000000.0 6.13397e+27 2640.0 8953.085830249493 2.2957120109980266e+38
993600.0 335750000000000.0 6.22692e+27 2669.0 8935.219657483247 2.339828756475e+38
993600.0 336420000000000.0 6.00291e+27 2562.0 8917.424647761727 2.26466615863908e+38
993600.0 337090000000000.0 5.69653e+27 2492.0 8899.700376753983 2.1576493774056432e+38
993600.0 337770000000000.0 5.3357e+27 2321.0 8881.783462119194 2.0291413280750996e+38
993600.0 338440000000000.0 5.55124e+27 2388.0 8864.20044911949 2.1194936603522136e+38
993600.0 339120000000000.0 5.16032e+27 2256.0 8846.426043878273 1.97816350887936e+38
993600.0 339800000000000.0 5.24349e+27 2203.0 8828.722778104768 2.0181151303319998e+38
993600.0 340480000000000.0 5.32398e+27 2331.0 8811.09022556391 2.0573035390566396e+38
993600.0 341160000000000.0 5.05758e+27 2228.0 8793.527963418923 1.96217490861216e+38
993600.0 341840000000000.0 5.10652e+27 2270.0 8776.03557219752 1.9890675948603735e+38
993600.0 342530000000000.0 4.95905e+27 2214.0 8758.356932239512 1.939431573343817e+38
993600.0 343210000000000.0 4.95711e+27 2264.0 8741.004049998543 1.94637791421717e+38
993600.0 343900000000000.0 5.172e+27 2275.0 8723.466123873219 2.0389267004e+38
993600.0 344580000000000.0 4.92946e+27 2259.0 8706.251088281386 1.95100429516248e+38
993600.0 345270000000000.0 5.15344e+27 2335.0 8688.852202624033 2.04782885852592e+38
993600.0 345960000000000.0 5.04708e+27 2283.0 8671.522719389524 2.0135884472697604e+38
993600.0 346660000000000.0 5.40753e+27 2425.0 8654.012577164945 2.16613314700556e+38
993600.0 347350000000000.0 5.30615e+27 2432.0 8636.821649632935 2.133992430627917e+38
993600.0 348040000000000.0 5.49639e+27 2455.0 8619.698885185611 2.2192928095060797e+38
993600.0 348740000000000.0 5.68237e+27 2565.0 8602.397201353444 2.303624986635373e+38
993600.0 349440000000000.0 5.4906e+27 2545.0 8585.164835164835 2.2348263555072002e+38
993600.0 350140000000000.0 5.84632e+27 2601.0 8568.00137088022 2.3891575131595732e+38
993600.0 350840000000000.0 5.65955e+27 2598.0 8550.906396077984 2.322088945928267e+38
993600.0 351540000000000.0 5.85434e+27 2653.0 8533.879501621437 2.4116050422424803e+38
993600.0 352240000000000.0 5.99164e+27 2734.0 8516.920281626164 2.4780028505762134e+38
993600.0 352950000000000.0 6.13271e+27 2782.0 8499.787505312368 2.5465813035292497e+38
993600.0 353650000000000.0 6.31816e+27 2817.0 8482.963381874735 2.6340055749553334e+38
993600.0 354360000000000.0 6.46042e+27 2881.0 8465.966813410092 2.7041382061334397e+38
993600.0 355070000000000.0 6.46465e+27 2944.0 8449.038217816205 2.7167628034392838e+38
993600.0 355780000000000.0 6.57864e+27 3023.0 8432.17718814998 2.7757345309219203e+38
993600.0 356490000000000.0 6.63427e+27 3028.0 8415.383320710258 2.8103899990860902e+38
993600.0 357200000000000.0 6.62063e+27 3023.0 8398.6562150056 2.8157945455306666e+38
993600.0 357920000000000.0 6.84191e+27 3149.0 8381.761287438534 2.9216489747447465e+38
993600.0 358630000000000.0 6.65542e+27 3085.0 8365.167442768312 2.8533000575659937e+38
993600.0 359350000000000.0 7.20631e+27 3278.0 8348.406845693613 3.101894225286583e+38
993600.0 360070000000000.0 6.78568e+27 3105.0 8331.713277973728 2.9325538650727735e+38
993600.0 360790000000000.0 7.0455e+27 3297.0 8315.086338313145 3.0570289249885e+38
993600.0 361510000000000.0 7.22071e+27 3294.0 8298.525628613317 3.145569452842903e+38
993600.0 362230000000000.0 7.43558e+27 3446.0 8282.030753940866 3.2520890388126068e+38
993600.0 362960000000000.0 6.93802e+27 3308.0 8265.373594886489 3.0467149612667736e+38
993600.0 363680000000000.0 7.21813e+27 3338.0 8249.010118785745 3.1823085201723737e+38
993600.0 364410000000000.0 7.48157e+27 3542.0 8232.485387338438 3.31170818461839e+38
993600.0 365140000000000.0 7.40013e+27 3547.0 8216.026729473626 3.28879585859516e+38
993600.0 365870000000000.0 7.18909e+27 3381.0 8199.633749692513 3.2077924924374033e+38
993600.0 366600000000000.0 7.31553e+27 3498.0 8183.306055646482 3.277249170156e+38
993600.0 367340000000000.0 7.36443e+27 3496.0 8166.820928839767 3.31248810249636e+38
993600.0 368070000000000.0 7.32173e+27 3459.0 8150.623522699487 3.30638404975359e+38
993600.0 368810000000000.0 7.44033e+27 3576.0 8134.2696781540635 3.3734658621777098e+38
993600.0 369540000000000.0 7.63857e+27 3596.0 8118.201006656925 3.4770722669780396e+38
993600.0 370280000000000.0 7.60504e+27 3602.0 8101.976882359296 3.475687788410453e+38
993600.0 371020000000000.0 7.64931e+27 3601.0 8085.817476146838 3.50990732176708e+38
993600.0 371770000000000.0 7.47915e+27 3599.0 8069.5053393227 3.4457175236634495e+38
993600.0 372510000000000.0 7.59798e+27 3610.0 8053.475074494644 3.5144127269526605e+38
993600.0 373250000000000.0 7.24823e+27 3491.0 8037.508372404554 3.3659707985979166e+38
993600.0 374000000000000.0 7.44361e+27 3586.0 8021.39037433155 3.470607974533333e+38
993600.0 374750000000000.0 7.5546e+27 3578.0 8005.33689126084 3.536498698875e+38
993600.0 375500000000000.0 7.27814e+27 3533.0 7989.347536617843 3.4207318651166665e+38
993600.0 376250000000000.0 7.47994e+27 3609.0 7973.421926910299 3.5296356455208336e+38
993600.0 377000000000000.0 7.56008e+27 3624.0 7957.559681697613 3.5816887010666664e+38
993600.0 377760000000000.0 7.4688e+27 3671.0 7941.550190597204 3.5527243677696e+38
993600.0 378510000000000.0 7.63915e+27 3708.0 7925.81437742728 3.64819882072305e+38
993600.0 379270000000000.0 7.72966e+27 3784.0 7909.932238247159 3.706262025892713e+38
993600.0 380030000000000.0 7.98548e+27 3885.0 7894.113622608741 3.844284627103107e+38
993600.0 380790000000000.0 8.06724e+27 3960.0 7878.358150161506 3.8991935388682796e+38
993600.0 381550000000000.0 8.14256e+27 4016.0 7862.665443585375 3.9513238739346676e+38
993600.0 382310000000000.0 7.87662e+27 3957.0 7847.035128560592 3.8375138416799405e+38
993600.0 383080000000000.0 8.26235e+27 4098.0 7831.262399498799 4.041674096123467e+38
993600.0 383840000000000.0 8.56168e+27 4229.0 7815.756565235515 4.204730820068693e+38
993600.0 384610000000000.0 8.87802e+27 4304.0 7800.109201528821 4.3775993181361395e+38
993600.0 385380000000000.0 8.82965e+27 4354.0 7784.524365561264 4.3711990061382e+38
993600.0 386150000000000.0 8.60633e+27 4329.0 7769.001683283698 4.2776851711214164e+38
993600.0 386920000000000.0 8.79488e+27 4440.0 7753.540783624522 4.388852866792106e+38
993600.0 387700000000000.0 8.7492e+27 4357.0 7737.941707505804 4.38367846156e+38
993600.0 388470000000000.0 8.58272e+27 4266.0 7722.6040620897365 4.31736395080416e+38
993600.0 389250000000000.0 8.62371e+27 4308.0 7707.129094412331 4.35542090495625e+38
993600.0 390030000000000.0 8.45371e+27 4238.0 7691.716021844473 4.28669038474113e+38
993600.0 390810000000000.0 8.21686e+27 4108.0 7676.3644737852155 4.18327069743282e+38
993600.0 391590000000000.0 8.1735e+27 4155.0 7661.074082586379 4.1778226270845e+38
993600.0 392370000000000.0 8.06632e+27 4014.0 7645.844483523205 4.13947992954936e+38
993600.0 393160000000000.0 7.94511e+27 3966.0 7630.481229016176 4.09371224939472e+38
993600.0 393940000000000.0 7.71738e+27 3965.0 7615.372899426308 3.99216783912056e+38
993600.0 394730000000000.0 7.82783e+27 3892.0 7600.131735616751 4.0655602341993565e+38
993600.0 395520000000000.0 7.61322e+27 3850.0 7584.9514563106795 3.96994073296896e+38
993600.0 396310000000000.0 7.3928e+27 3795.0 7569.831697408595 3.8704170516802665e+38
993600.0 397100000000000.0 7.27817e+27 3707.0 7554.772097708385 3.825610183365667e+38
993600.0 397900000000000.0 7.23274e+27 3588.0 7539.582809751194 3.817064310611333e+38
993600.0 398690000000000.0 7.23811e+27 3655.0 7524.643206501291 3.835081606801904e+38
993600.0 399490000000000.0 7.25973e+27 3651.0 7509.574707752385 3.86198906138591e+38
993600.0 400290000000000.0 7.34299e+27 3683.0 7494.566439331485 3.9219419707515295e+38
993600.0 401090000000000.0 7.09826e+27 3642.0 7479.6180408387145 3.806399053875687e+38
993600.0 401890000000000.0 6.83219e+27 3499.0 7464.729154743835 3.678350255152997e+38
993600.0 402700000000000.0 7.1002e+27 3577.0 7449.714427613608 3.838067308193334e+38
993600.0 403500000000000.0 6.73093e+27 3482.0 7434.944237918216 3.652926192975e+38
993600.0 404310000000000.0 6.88021e+27 3541.0 7420.048972323218 3.74894790516327e+38
993600.0 405120000000000.0 7.20525e+27 3714.0 7405.21327014218 3.941805284352e+38
993600.0 405930000000000.0 6.70871e+27 3497.0 7390.436774813392 3.6848521045209295e+38
993600.0 406740000000000.0 7.07546e+27 3790.0 7375.71913261543 3.90181967162232e+38
993600.0 407550000000000.0 7.20783e+27 3728.0 7361.0599926389405 3.990663191765249e+38
993600.0 408370000000000.0 7.07382e+27 3772.0 7346.279109630972 3.932243562067859e+38
993600.0 409190000000000.0 7.14394e+27 3725.0 7331.55746719128 3.987186653970114e+38
993600.0 410000000000000.0 7.32009e+27 3824.0 7317.073170731707 4.10169043e+38
993600.0 410820000000000.0 7.21106e+27 3828.0 7302.468234263181 4.05677583820248e+38
993600.0 411650000000000.0 7.47122e+27 3856.0 7287.744443094862 4.220136610188167e+38
993600.0 412470000000000.0 7.66131e+27 3989.0 7273.256236817223 4.34476723053393e+38
993600.0 413290000000000.0 7.51619e+27 3944.0 7258.8255220305355 4.2794335745805965e+38
993600.0 414120000000000.0 7.42722e+27 3978.0 7244.277021153289 4.2457795821705594e+38
993600.0 414950000000000.0 7.77482e+27 4044.0 7229.786721291722 4.462319129690167e+38
993600.0 415780000000000.0 7.35169e+27 3923.0 7215.354273894848 4.2363625570806535e+38
993600.0 416610000000000.0 7.68871e+27 4097.0 7200.979333189313 4.4482747760939704e+38
993600.0 417440000000000.0 7.78712e+27 4115.0 7186.661556151782 4.523178596072107e+38
