Time Freq L_nu packet_count Wavelength L_lambda
2203200.0 316220000000000.0 1.0511199999999999e+28 4410.0 9487.065966732021 3.5035612439669334e+38
2203200.0 316850000000000.0 1.0682899999999999e+28 4491.0 9468.202619536058 3.574994115584166e+38
2203200.0 317480000000000.0 1.12246e+28 4722.0 9449.414136323549 3.771224286066133e+38
2203200.0 318120000000000.0 1.16377e+28 4932.0 9430.40362127499 3.9257971054895996e+38
2203200.0 318750000000000.0 1.20651e+28 5106.0 9411.764705882353 4.0861100390625e+38
2203200.0 319390000000000.0 1.25205e+28 5259.0 9392.905225586273 4.2573861855935e+38
2203200.0 320030000000000.0 1.28118e+28 5438.0 9374.121176139737 4.3739143936353995e+38
2203200.0 320670000000000.0 1.3171099999999999e+28 5562.0 9355.412105903266 4.514581067289299e+38
2203200.0 321310000000000.0 1.37139e+28 5828.0 9336.777566835766 4.7194154272793e+38
2203200.0 321950000000000.0 1.3913399999999998e+28 5920.0 9318.217114458766 4.807163296345e+38
2203200.0 322600000000000.0 1.38898e+28 5852.0 9299.442033477992 4.818406807493333e+38
2203200.0 323240000000000.0 1.4244299999999998e+28 6043.0 9281.02957554758 4.9610094381455996e+38
2203200.0 323890000000000.0 1.4191699999999998e+28 6113.0 9262.40390255951 4.9625882884785665e+38
2203200.0 324540000000000.0 1.4128399999999999e+28 6020.0 9243.852837862822 4.960302826564799e+38
2203200.0 325190000000000.0 1.4340199999999998e+28 6064.0 9225.375934069314 5.054850524604066e+38
2203200.0 325840000000000.0 1.39659e+28 5970.0 9206.972747360667 4.9426114107968e+38
2203200.0 326490000000000.0 1.3937499999999999e+28 5961.0 9188.642837452908 4.9522594963125e+38
2203200.0 327140000000000.0 1.35145e+28 5805.0 9170.385767561289 4.821098743347333e+38
2203200.0 327800000000000.0 1.2982699999999998e+28 5570.0 9151.921903599756 4.650093286226666e+38
2203200.0 328450000000000.0 1.30637e+28 5611.0 9133.810321205663 4.697680501464166e+38
2203200.0 329110000000000.0 1.25758e+28 5408.0 9115.493300112425 4.5404251879039324e+38
