#Natural (INST) System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   INSTMAG dMAG   
sn01C
4 52002.32090 15.453 0.020
4 52013.24962 16.035 0.025
4 52018.32762 16.258 0.035
4 52020.35316 16.324 0.020
4 52022.37161 16.397 0.020
4 52025.19359 16.503 0.025
4 52028.13009 16.578 0.025
4 52031.20588 16.675 0.031
4 52034.18715 16.756 0.057
4 52035.14111 16.800 0.028
4 52036.16411 16.832 0.026
4 52038.37348 16.893 0.038
4 52040.29265 16.987 0.024
4 52051.26359 17.242 0.027
4 52060.19623 17.461 0.166
5 51959.54309 16.502 0.058
5 51960.41126 16.131 0.028
5 51961.31060 15.902 0.022
5 51963.39938 15.510 0.191
5 51966.44343 15.084 0.021
5 51966.44343 15.083 0.020
5 51967.41390 15.038 0.028
5 51975.27497 14.974 0.043
5 51977.50184 15.061 0.049
5 51980.50898 15.128 0.023
5 51980.50898 15.126 0.020
5 51980.52215 15.136 0.020
5 51981.52345 15.176 0.021
5 51983.51034 15.284 0.021
5 51983.52287 15.277 0.020
5 51984.41697 15.333 0.021
5 51985.32448 15.383 0.022
5 51988.24972 15.462 0.020
5 51991.17078 15.470 0.024
5 51994.41836 15.384 0.025
5 51995.36469 15.378 0.020
5 52002.30503 15.262 0.149
5 52002.30503 15.252 0.149
5 52002.32270 15.266 0.024
5 52020.35494 16.124 0.020
5 52022.37340 16.224 0.022
5 52025.19538 16.322 0.021
5 52031.20769 16.555 0.028
5 52035.14325 16.716 0.037
5 52036.15155 16.766 0.049
5 52036.16660 16.730 0.033
5 52040.29446 16.934 0.036
5 52051.26537 17.290 0.029
sn01ah
2 52002.34491 17.701 0.022
2 52002.36223 17.723 0.027
2 52032.14931 19.702 0.056
2 52034.16060 19.792 0.071
2 52037.18672 19.941 0.054
2 52040.26889 20.337 0.077
2 52051.21612 20.772 0.107
3 52002.34855 17.684 0.017
3 52032.15295 18.708 0.025
3 52034.16424 18.876 0.031
3 52038.35392 19.064 0.109
3 52040.27253 19.239 0.042
3 52051.21976 19.731 0.059
3 52060.17412 20.360 0.114
4 52002.35127 17.715 0.023
4 52032.15569 18.347 0.026
4 52034.16694 18.374 0.027
4 52037.19310 18.467 0.029
4 52038.35662 18.554 0.075
4 52040.27525 18.494 0.030
4 52051.22247 19.085 0.040
4 52060.17684 19.441 0.076
5 52002.35378 17.921 0.041
5 52032.15818 18.763 0.048
5 52034.16943 18.705 0.052
5 52036.14873 18.703 0.050
5 52037.17925 18.619 0.060
5 52037.18024 18.633 0.059
5 52040.27774 18.647 0.046
5 52051.22494 19.290 0.076
5 52060.17933 19.754 0.175
sn01ay
1 52022.42715 16.442 0.051
1 52026.16162 16.565 0.056
1 52030.25066 16.860 0.043
1 52034.31075 17.307 0.040
1 52036.32281 17.549 0.045
1 52037.29863 17.707 0.050
1 52040.38023 17.884 0.043
1 52045.34269 18.404 0.076
1 52051.27613 18.440 0.110
1 52052.43035 18.680 0.098
1 52056.19054 18.848 0.096
1 52059.28594 19.210 0.116
1 52073.25666 19.619 0.131
1 52111.22964 19.878 0.174
2 52022.43041 16.730 0.014
2 52030.25394 16.988 0.013
2 52040.38350 17.662 0.020
2 52045.34581 18.080 0.020
2 52051.27940 18.399 0.022
2 52052.43362 18.560 0.023
2 52056.19382 18.709 0.026
2 52059.28919 18.954 0.029
