#Natural (INST) System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   INSTMAG dMAG   
sn01C
5 52692.35792 18.057 0.051
5 52705.29248 18.799 0.120
5 52707.31390 18.852 0.074
5 52709.30038 18.727 0.104
5 52729.24354 19.142 0.094
sn03ai
2 52729.42792 19.896 0.061
2 52750.29463 20.239 0.065
2 52752.37157 20.300 0.098
2 52758.35186 20.322 0.081
2 52761.39575 20.308 0.078
3 52705.49003 17.417 0.031
3 52729.43110 18.765 0.024
3 52752.37478 19.498 0.054
3 52758.35508 19.613 0.059
3 52761.39891 19.613 0.056
3 52762.38676 19.626 0.054
4 52705.49250 17.356 0.037
4 52729.43359 18.227 0.029
4 52745.40030 18.913 0.068
4 52750.30034 18.941 0.059
4 52752.37727 18.965 0.041
4 52758.35757 19.234 0.043
4 52761.40139 19.285 0.058
4 52762.38922 19.251 0.058
5 52705.49425 17.713 0.042
5 52729.43538 18.077 0.051
5 52745.40209 18.529 0.110
5 52750.30213 18.765 0.086
5 52752.37909 18.854 0.066
5 52758.35939 19.040 0.113
5 52761.40318 19.276 0.078
sn03cg
1 52724.22594 16.631 0.036
1 52726.18506 16.523 0.035
1 52729.29020 16.488 0.039
1 52735.21781 16.922 0.039
1 52739.21088 17.263 0.048
2 52724.22912 16.020 0.025
2 52726.18826 15.931 0.034
2 52729.29339 15.877 0.023
2 52735.22101 15.957 0.034
2 52739.21409 16.311 0.024
2 52745.30318 17.055 0.027
2 52762.23696 18.495 0.035
2 52791.16539 19.299 0.109
2 52793.16206 19.367 0.065
3 52724.23157 15.022 0.013
3 52726.19074 14.871 0.010
3 52729.29589 14.722 0.012
3 52732.14730 14.742 0.010
3 52735.22348 14.816 0.025
3 52739.21656 15.004 0.011
3 52745.30689 15.460 0.021
3 52750.23289 15.634 0.013
3 52758.15422 16.105 0.013
3 52762.23943 16.419 0.017
3 52766.24637 16.727 0.031
3 52782.14235 17.095 0.019
3 52791.16858 17.462 0.035
3 52793.16523 17.425 0.021
4 52724.23332 14.303 0.015
4 52726.19253 14.193 0.011
4 52729.29767 14.158 0.017
4 52732.14909 14.148 0.011
4 52735.22525 14.254 0.021
4 52739.21834 14.564 0.019
4 52745.30868 14.907 0.029
4 52750.23469 14.840 0.016
4 52758.15671 15.093 0.015
4 52762.24122 15.405 0.016
4 52766.24884 15.668 0.016
4 52791.17105 16.649 0.032
4 52793.16772 16.681 0.018
4 52795.15940 16.701 0.020
5 52724.23475 13.881 0.016
5 52726.19397 13.823 0.014
5 52729.29913 13.857 0.016
5 52732.15052 13.943 0.014
5 52735.22670 14.060 0.013
5 52739.21979 14.295 0.014
5 52745.31013 14.412 0.020
5 52750.23615 14.249 0.016
5 52758.15851 14.269 0.019
5 52762.24265 14.576 0.018
5 52766.25062 15.002 0.096
5 52791.17284 16.199 0.035
5 52795.16118 16.281 0.021
sn03ch
1 52726.13935 16.769 0.029
1 52729.15162 16.978 0.032
1 52734.11490 17.448 0.042
1 52738.13465 18.246 0.101
1 52751.12545 19.526 0.149
1 52758.12575 20.472 0.334
2 52726.14324 16.966 0.016
2 52729.15553 17.055 0.016
2 52734.11878 17.398 0.020
2 52738.13856 17.843 0.029
2 52751.11590 19.244 0.079
3 52726.14641 16.889 0.015
3 52734.12196 17.138 0.017
3 52738.14174 17.363 0.020
3 52751.11911 18.338 0.028
3 52758.11947 18.798 0.049
4 52726.14889 16.762 0.015
4 52729.16120 16.725 0.019
4 52734.12444 17.093 0.017
4 52738.14421 17.463 0.026
4 52751.11503 17.760 0.074
4 52751.12159 17.759 0.020
4 52758.12198 18.348 0.038
5 52726.15068 17.068 0.025
5 52729.16299 17.182 0.029
5 52734.12622 17.547 0.031
5 52738.14601 18.025 0.073
5 52751.12339 17.576 0.031
5 52758.12378 18.171 0.061
sn03cq
1 52752.32301 18.688 0.072
3 52733.48721 17.463 0.032
3 52737.23442 17.144 0.016
3 52741.34576 17.246 0.032
3 52750.27017 17.469 0.017
3 52752.33017 17.630 0.018
3 52757.30644 17.986 0.026
3 52768.23506 18.780 0.055
3 52770.17733 18.838 0.043
3 52787.29062 19.551 0.050
3 52811.20618 19.952 0.063
4 52733.48970 17.197 0.018
4 52737.23690 16.984 0.017
4 52741.34823 17.048 0.044
4 52750.27266 17.375 0.020
4 52752.33266 17.497 0.018
4 52757.30894 17.605 0.022
4 52768.23753 17.934 0.025
4 52770.17981 18.154 0.035
4 52787.29311 18.876 0.033
4 52811.20439 19.678 0.071
sn03du
1 52757.32617 13.567 0.052
1 52764.30802 13.069 0.028
1 52767.18632 13.362 0.029
1 52781.30189 14.574 0.029
1 52781.31277 14.518 0.077
1 52783.17194 14.803 0.034
1 52783.18541 14.868 0.048
1 52783.19220 14.858 0.031
1 52783.19891 14.818 0.031
1 52788.26685 15.404 0.031
1 52792.25568 15.801 0.028
1 52794.23471 16.000 0.067
1 52810.21569 16.676 0.032
1 52816.18981 16.872 0.031
1 52822.16597 17.018 0.082
1 52824.25183 16.997 0.035
2 52757.32944 14.117 0.027
2 52757.33855 14.138 0.025
2 52758.31646 13.917 0.036
2 52758.32734 13.955 0.022
2 52763.33448 13.493 0.034
2 52764.31125 13.478 0.021
2 52767.18954 13.362 0.032
2 52769.21693 13.601 0.030
2 52787.30139 15.135 0.016
2 52792.25890 15.607 0.031
2 52794.23792 15.786 0.022
2 52815.24141 16.666 0.025
2 52816.19303 16.656 0.016
2 52819.19517 16.730 0.016
2 52821.22990 16.815 0.034
2 52822.16987 16.808 0.026
2 52824.25574 16.821 0.016
2 52826.17389 16.851 0.017
3 52758.32983 14.087 0.016
3 52763.32016 13.607 0.017
3 52763.33696 13.598 0.020
3 52764.31374 13.588 0.012
3 52767.19201 13.568 0.011
3 52783.16318 14.272 0.026
3 52783.17010 14.272 0.024
3 52783.17676 14.276 0.020
3 52783.18351 14.207 0.029
3 52783.19037 14.301 0.016
3 52783.19707 14.274 0.019
3 52788.27256 14.541 0.015
3 52792.26137 14.746 0.026
3 52794.24041 14.874 0.018
3 52810.21388 15.693 0.019
3 52815.24388 15.851 0.015
3 52816.19552 15.854 0.013
3 52819.19833 15.946 0.013
3 52822.17304 16.041 0.016
3 52824.25890 16.080 0.012
3 52826.17706 16.134 0.014
3 52829.23119 16.214 0.017
4 52757.33375 14.147 0.020
4 52757.34101 14.152 0.019
4 52758.32078 14.010 0.027
4 52758.33163 13.986 0.023
4 52763.32196 13.623 0.013
4 52763.33874 13.621 0.012
4 52764.31553 13.599 0.013
4 52767.19380 13.592 0.014
4 52769.22115 13.618 0.013
4 52781.31785 14.350 0.020
4 52783.14711 14.378 0.026
4 52783.15433 14.421 0.033
4 52783.16170 14.403 0.021
4 52783.16863 14.387 0.020
4 52783.17527 14.384 0.020
4 52783.18200 14.407 0.025
4 52783.18888 14.362 0.017
4 52783.19559 14.365 0.017
4 52787.30565 14.422 0.014
4 52788.27435 14.431 0.014
4 52792.26317 14.510 0.017
4 52794.24220 14.554 0.018
4 52810.21243 15.416 0.013
4 52815.24567 15.614 0.015
4 52816.19731 15.632 0.012
4 52819.20081 15.732 0.012
4 52822.17551 15.843 0.014
4 52824.26139 15.910 0.017
4 52826.17955 15.971 0.014
4 52829.23368 16.067 0.017
4 52836.15866 16.314 0.049
4 52836.26069 16.320 0.015
5 52757.32513 14.245 0.030
5 52757.33520 14.200 0.022
5 52757.34182 14.213 0.021
5 52758.32223 14.107 0.022
5 52758.33309 14.068 0.022
5 52763.32343 13.826 0.022
5 52764.31698 13.854 0.019
5 52767.19524 13.957 0.016
5 52769.22252 14.022 0.017
5 52772.17811 14.122 0.034
5 52787.30707 14.531 0.017
5 52788.27580 14.516 0.017
5 52792.26462 14.430 0.020
5 52794.24365 14.400 0.018
5 52815.24712 15.489 0.024
5 52816.19875 15.511 0.018
5 52819.20258 15.645 0.018
5 52822.17731 15.777 0.020
5 52824.26317 15.859 0.017
5 52826.18134 15.972 0.021
5 52829.23547 16.087 0.023
sn03fa
1 52798.37131 16.708 0.029
1 52801.18882 16.402 0.034
1 52802.17080 16.439 0.038
1 52803.17723 16.457 0.163
1 52809.23554 16.506 0.035
1 52813.21659 16.809 0.035
1 52814.35167 16.861 0.027
1 52816.44118 17.212 0.053
1 52818.19321 17.333 0.041
1 52819.34317 17.367 0.042
1 52820.28012 17.601 0.046
1 52823.18309 17.906 0.050
1 52825.16331 18.147 0.065
1 52827.23624 18.555 0.081
1 52849.35943 19.542 0.191
1 52887.19427 19.873 0.320
2 52797.36515 17.377 0.018
2 52798.37451 17.218 0.017
2 52801.19203 17.033 0.028
2 52802.17399 17.028 0.034
2 52814.35487 17.020 0.017
2 52816.44437 17.227 0.029
2 52818.19641 17.349 0.032
2 52819.34706 17.393 0.016
2 52820.28403 17.481 0.019
2 52823.18699 17.783 0.021
2 52825.16720 17.979 0.022
2 52827.24014 18.230 0.029
2 52830.23662 18.902 0.116
2 52849.36332 19.843 0.069
2 52851.14333 19.759 0.057
2 52886.14084 20.565 0.112
2 52887.19817 20.525 0.224
2 52900.10697 20.459 0.086
3 52797.36762 17.385 0.014
3 52798.37698 17.243 0.013
3 52799.17660 17.259 0.025
3 52801.19450 16.990 0.020
3 52809.21781 16.805 0.014
3 52809.23370 16.808 0.013
3 52813.21476 16.894 0.014
3 52814.35737 16.908 0.013
3 52816.44686 17.011 0.016
3 52818.19889 17.121 0.015
3 52819.35023 17.143 0.012
3 52820.28721 17.199 0.015
3 52823.19016 17.366 0.015
3 52825.17041 17.483 0.016
3 52827.24332 17.573 0.018
3 52830.23979 17.767 0.030
3 52849.36650 18.762 0.033
3 52851.14650 18.826 0.030
3 52887.20137 19.578 0.064
4 52797.36941 17.361 0.016
4 52798.37877 17.239 0.017
4 52799.17839 17.108 0.021
4 52801.19630 16.947 0.017
4 52802.17826 16.888 0.018
4 52803.18471 16.858 0.020
4 52809.21964 16.725 0.022
4 52809.23226 16.759 0.014
4 52813.21331 16.836 0.014
4 52814.35916 16.871 0.015
4 52816.44866 17.000 0.020
4 52818.20067 17.125 0.015
4 52819.35270 17.168 0.016
4 52820.28969 17.237 0.014
4 52823.19263 17.395 0.015
4 52825.17289 17.412 0.023
4 52827.24581 17.486 0.020
4 52830.24228 17.612 0.029
4 52849.36897 18.215 0.029
4 52851.14899 18.305 0.024
4 52886.14649 19.385 0.071
4 52887.20385 19.495 0.096
5 52797.37086 17.443 0.025
5 52798.38022 17.328 0.025
5 52801.19774 17.129 0.031
5 52802.17970 17.040 0.026
5 52814.36060 17.362 0.021
5 52816.45009 17.535 0.030
5 52818.20209 17.771 0.045
5 52819.35449 17.766 0.026
5 52820.29148 17.835 0.027
5 52823.19443 17.907 0.033
5 52825.17468 17.972 0.043
5 52827.24760 17.892 0.036
5 52830.24406 17.946 0.053
5 52849.37075 18.232 0.048
5 52851.15079 18.259 0.051
5 52886.14829 19.654 0.177
5 52887.20565 19.705 0.173
sn03hu
1 52908.15505 19.074 0.158
1 52910.21255 19.388 0.181
2 52908.14567 18.983 0.043
2 52910.20934 19.121 0.086
2 52911.14204 19.331 0.067
2 52913.24722 19.527 0.067
2 52930.18718 20.934 0.160
3 52908.14885 18.597 0.038
3 52910.17889 18.743 0.040
3 52910.20324 18.704 0.035
3 52911.13589 18.728 0.038
3 52913.24113 18.913 0.061
3 52930.18102 19.673 0.077
3 52935.10858 19.975 0.102
4 52908.15133 18.402 0.038
4 52910.18137 18.416 0.043
4 52910.20571 18.500 0.042
4 52911.13839 18.484 0.041
4 52913.24361 18.571 0.062
4 52930.18351 19.268 0.062
4 52935.11105 19.373 0.077
5 52908.15311 18.886 0.105
5 52910.20750 18.911 0.080
5 52913.24538 19.100 0.118
5 52930.18530 19.159 0.125
5 52935.11284 19.087 0.107
sn03ic
1 52909.31911 17.717 0.049
1 52912.35213 18.148 0.065
2 52909.31590 17.810 0.039
2 52910.31045 17.888 0.020
2 52929.33440 19.975 0.104
2 52931.28265 20.406 0.147
2 52935.25841 20.641 0.152
3 52909.30981 17.768 0.030
3 52910.30435 17.768 0.035
3 52929.32828 19.131 0.061
3 52931.27655 19.294 0.062
4 52909.31228 17.553 0.024
4 52912.34529 17.583 0.051
4 52929.33075 18.361 0.037
4 52931.27902 18.548 0.043
4 52935.25477 18.790 0.045
4 52966.22344 19.688 0.120
5 52909.31406 17.916 0.154
5 52912.34707 18.160 0.059
5 52929.33253 18.131 0.059
5 52931.28080 18.394 0.075
5 52935.25656 18.804 0.087
sn03it
1 52932.21534 16.312 0.096
1 52966.21645 20.212 0.218
2 52932.21214 16.696 0.031
2 52935.23582 16.652 0.034
2 52936.21922 16.630 0.031
2 52966.21325 19.663 0.065
2 52999.15381 20.340 0.205
2 53014.12513 20.194 0.304
3 52932.20601 16.618 0.021
3 52935.22968 16.512 0.021
3 52936.21311 16.511 0.022
3 52966.20715 18.344 0.036
3 52999.14771 19.488 0.067
3 53011.10855 19.730 0.142
4 52932.20848 16.433 0.024
4 52935.23216 16.369 0.025
4 52936.21559 16.364 0.025
4 52966.20962 17.913 0.032
4 52999.15019 19.274 0.067
4 53011.11104 19.719 0.100
4 53013.11289 19.788 0.105
5 52932.21028 16.450 0.030
5 52935.23396 16.562 0.030
5 52936.21736 16.604 0.030
5 52966.21141 17.651 0.038
5 52999.15196 19.082 0.121
5 53013.11469 19.401 0.150
5 53014.13260 19.551 0.155
sn03iv
1 52933.35178 17.348 0.133
1 52935.39237 17.470 0.108
1 52940.34569 17.926 0.096
1 52964.25494 20.632 0.292
2 52933.34859 17.508 0.018
2 52935.38916 17.534 0.018
2 52940.34248 17.866 0.020
2 52964.25174 20.531 0.079
3 52933.34245 17.482 0.020
3 52935.38301 17.418 0.016
3 52940.33638 17.576 0.022
3 52964.24560 19.474 0.057
4 52933.34493 17.312 0.023
4 52935.38550 17.267 0.018
4 52940.33884 17.449 0.020
4 52964.24809 18.807 0.036
5 52933.34671 17.522 0.029
5 52935.38729 17.597 0.030
5 52940.34064 17.928 0.042
5 52964.24988 18.615 0.043
sn03kc
1 52979.46902 17.354 0.057
1 52992.51503 18.596 0.103
1 53035.43098 20.133 0.241
1 53048.35545 20.222 0.284
1 53053.27816 20.051 0.198
1 53146.19331 20.445 0.328
2 52984.50340 17.486 0.041
2 52989.43681 17.848 0.077
2 52992.51183 18.328 0.032
2 52999.41730 19.116 0.034
2 53044.35948 20.401 0.263
2 53048.35225 20.589 0.204
3 52983.43146 17.115 0.020
3 52984.49728 17.166 0.018
3 52989.43069 17.313 0.029
3 52992.50568 17.655 0.023
3 52996.50512 18.133 0.058
3 53019.51130 19.115 0.063
3 53048.34615 19.752 0.082
3 53085.14269 20.455 0.170
3 53112.16060 20.716 0.409
3 53146.18403 21.359 0.353
3 53175.15683 21.296 0.376
4 52975.46459 17.159 0.059
4 52983.43394 17.009 0.020
4 52989.43316 17.444 0.035
4 52992.50818 17.587 0.021
4 52996.50759 17.529 0.031
4 52999.41365 17.622 0.021
4 53019.51378 18.617 0.057
4 53023.39626 18.852 0.043
4 53031.42686 19.144 0.051
4 53044.41816 19.587 0.123
4 53048.34862 19.733 0.096
4 53053.27133 19.900 0.091
5 52984.50155 17.502 0.039
5 52999.41543 17.787 0.047
5 53035.42591 19.348 0.114
5 53044.35762 19.564 0.121
5 53053.27311 20.168 0.174
sn03kf
1 52977.25826 14.461 0.057
1 52986.35245 14.877 0.042
1 52988.35863 15.005 0.039
1 52989.26674 15.062 0.041
1 52989.27538 15.047 0.043
1 52989.28410 15.060 0.043
1 52991.35797 15.249 0.036
1 52993.39295 15.593 0.050
1 52994.41238 15.584 0.048
1 52998.23810 16.083 0.039
1 52999.35898 16.216 0.040
1 53013.28164 17.564 0.114
1 53016.37681 17.747 0.120
1 53020.16741 17.980 0.179
1 53022.13652 17.780 0.085
1 53022.28657 17.962 0.093
1 53024.26619 17.977 0.052
1 53043.18319 18.586 0.177
1 53051.14870 18.475 0.129
1 53085.16669 18.817 0.272
2 52977.25669 14.626 0.020
2 52983.41479 14.613 0.019
2 52986.35088 14.727 0.018
2 52988.35704 14.833 0.018
2 52989.26514 14.865 0.018
2 52989.27378 14.842 0.018
2 52989.28251 14.864 0.018
2 52989.42521 14.851 0.019
2 52991.35641 15.043 0.022
2 52993.39135 15.261 0.024
2 52994.41082 15.362 0.023
2 52998.23650 15.722 0.021
2 52999.35740 15.824 0.018
2 53013.27221 16.997 0.036
2 53020.16491 17.418 0.034
2 53022.13402 17.387 0.022
2 53022.28409 17.455 0.022
2 53024.26369 17.443 0.026
2 53024.28063 17.505 0.033
2 53033.34032 17.613 0.023
2 53043.17999 17.854 0.037
2 53047.25616 17.878 0.027
2 53051.14549 17.858 0.025
2 53085.16350 18.493 0.051
3 52977.25303 14.390 0.021
3 52983.41109 14.278 0.015
3 52986.34719 14.368 0.015
3 52988.35332 14.437 0.014
3 52989.26142 14.447 0.013
3 52989.27010 14.421 0.014
3 52989.27881 14.437 0.013
3 52989.42149 14.442 0.014
3 52991.35269 14.615 0.020
3 52993.38766 14.752 0.020
3 52994.40711 14.798 0.017
3 52998.23281 15.011 0.015
3 52999.35369 15.040 0.014
3 53013.27538 15.764 0.019
3 53020.15980 16.092 0.043
3 53022.12895 16.212 0.015
3 53022.27900 16.227 0.016
3 53024.27554 16.301 0.016
3 53033.33421 16.550 0.016
3 53043.17385 16.857 0.019
3 53047.25003 16.969 0.020
3 53051.13936 16.988 0.017
3 53053.20935 17.218 0.075
3 53085.15740 17.900 0.031
4 52977.25444 14.191 0.018
4 52983.41252 14.140 0.015
4 52986.34861 14.223 0.009
4 52988.35477 14.326 0.008
4 52989.26286 14.338 0.009
4 52989.27154 14.326 0.009
4 52989.28025 14.336 0.009
4 52989.42294 14.309 0.010
4 52991.35413 14.579 0.016
4 52993.38911 14.750 0.016
4 52994.40854 14.801 0.012
4 52998.23426 14.907 0.012
4 52999.35513 14.876 0.010
4 53013.27787 15.204 0.014
4 53020.16159 15.665 0.029
4 53022.13073 15.710 0.011
4 53024.26039 15.827 0.028
4 53024.27733 15.840 0.013
4 53033.33669 16.132 0.012
4 53043.17633 16.512 0.020
4 53047.25251 16.641 0.015
4 53051.14184 16.690 0.013
4 53053.21183 16.748 0.124
4 53085.15987 17.793 0.034
5 52977.25553 14.204 0.025
5 52983.41362 14.345 0.028
5 52986.34971 14.493 0.019
5 52988.35587 14.594 0.016
5 52989.28135 14.565 0.017
5 52989.42404 14.580 0.017
5 52991.35524 14.854 0.023
5 52993.39020 14.967 0.039
5 52994.40964 15.015 0.024
5 52998.23534 15.021 0.023
5 52999.35623 14.951 0.016
5 53013.27965 14.811 0.019
5 53020.16338 15.334 0.040
5 53022.13250 15.354 0.017
5 53022.28257 15.393 0.021
5 53024.26218 15.501 0.020
5 53024.27911 15.501 0.019
5 53033.33847 15.905 0.019
5 53043.17813 16.419 0.026
5 53047.25431 16.569 0.023
5 53051.14362 16.680 0.022
5 53085.16166 18.208 0.108
sn04K
2 53085.48744 20.297 0.135
2 53148.28296 21.966 0.414
3 53052.51005 19.028 0.042
3 53053.50940 19.144 0.046
3 53085.48134 19.701 0.065
3 53148.27689 21.228 0.206
4 53052.51252 18.475 0.033
4 53053.51186 18.521 0.039
4 53085.48381 19.276 0.085
4 53148.27935 20.820 0.197
5 53052.51429 18.420 0.068
5 53053.51363 18.394 0.050
5 53085.48560 19.247 0.114
sn04L
1 53032.43251 17.901 0.157
1 53052.32766 19.545 0.199
2 53032.42929 17.588 0.064
2 53034.42580 17.600 0.029
2 53046.37774 18.679 0.051
2 53049.47537 19.210 0.064
2 53053.28899 19.738 0.066
2 53085.30286 21.193 0.204
2 53147.20846 21.428 0.332
3 53032.42315 17.247 0.019
3 53034.41969 17.328 0.026
3 53037.21251 17.353 0.028
3 53046.37161 18.027 0.033
3 53049.34247 18.087 0.034
3 53049.46925 18.140 0.031
3 53052.31832 18.339 0.026
3 53053.28289 18.452 0.029
3 53061.28059 18.933 0.043
3 53085.29676 19.735 0.074
3 53147.20236 21.199 0.327
4 53034.42215 17.140 0.025
4 53046.37409 17.712 0.036
4 53049.34494 17.771 0.029
4 53049.47172 17.737 0.036
4 53052.32081 17.810 0.028
4 53053.28536 17.865 0.027
4 53061.28306 18.348 0.036
4 53085.29922 19.289 0.068
4 53147.20483 21.103 0.337
5 53032.42743 17.457 0.040
5 53034.42394 17.496 0.036
5 53046.37588 17.876 0.040
5 53049.34674 17.792 0.068
5 53052.32259 17.766 0.040
5 53053.28713 17.711 0.031
5 53061.28484 18.124 0.051
5 53085.30101 19.467 0.146
sn04ap
1 53085.34565 17.510 0.080
2 53085.34245 17.343 0.095
2 53136.13969 19.223 0.059
2 53147.18795 19.311 0.056
3 53085.33634 16.667 0.026
3 53136.13719 18.425 0.035
3 53147.18185 18.608 0.033
4 53085.33881 16.457 0.033
4 53112.29209 17.197 0.089
4 53136.13400 18.182 0.064
4 53136.13539 18.053 0.033
4 53147.18433 18.338 0.035
5 53085.34059 16.636 0.036
5 53147.18610 18.215 0.055
sn04as
1 53088.25304 17.290 0.062
1 53091.43597 17.602 0.077
1 53094.29363 17.859 0.095
2 53080.33192 17.144 0.028
2 53082.29475 17.055 0.030
2 53085.35800 17.003 0.029
2 53114.30068 19.106 0.042
2 53134.24817 20.026 0.088
2 53135.17670 20.038 0.070
2 53140.19093 20.200 0.080
2 53145.26174 20.569 0.160
2 53176.21524 21.192 0.236
3 53080.32583 17.170 0.021
3 53082.28865 17.068 0.025
3 53085.35190 16.931 0.022
3 53088.24374 16.962 0.025
3 53091.42661 16.979 0.021
3 53094.28433 17.105 0.021
3 53112.26576 18.205 0.028
3 53114.29455 18.313 0.027
3 53134.25137 19.261 0.047
3 53135.17222 19.270 0.052
3 53135.17991 19.292 0.051
3 53140.19412 19.349 0.059
3 53145.25564 19.536 0.068
3 53176.20917 19.991 0.084
4 53080.32831 16.997 0.026
4 53082.29112 16.932 0.028
4 53085.35438 16.807 0.026
4 53088.24620 16.786 0.026
4 53091.42909 16.932 0.030
4 53094.28681 17.069 0.024
4 53112.25200 17.621 0.034
4 53114.29704 17.715 0.027
4 53134.25385 18.762 0.042
4 53135.17471 18.741 0.044
4 53135.18240 18.805 0.045
4 53137.25912 18.889 0.052
4 53140.19660 18.984 0.042
4 53145.25811 19.161 0.058
4 53176.21162 20.180 0.095
5 53080.33008 17.216 0.036
5 53082.29289 17.153 0.031
5 53085.35615 17.201 0.037
5 53088.24797 17.290 0.032
5 53091.43088 17.358 0.039
5 53094.28858 17.589 0.037
5 53112.26333 17.587 0.041
5 53114.29882 17.685 0.031
5 53145.25990 19.142 0.100
5 53176.21339 20.579 0.265
sn04bg
2 53116.35539 15.997 0.025
2 53119.36235 16.150 0.034
2 53133.30845 17.546 0.029
2 53134.23885 17.610 0.028
2 53135.15340 17.732 0.030
2 53137.24487 17.932 0.031
2 53140.18294 18.095 0.033
2 53145.24187 18.648 0.042
2 53176.20139 19.247 0.067
2 53178.20505 19.414 0.069
3 53116.34929 15.779 0.021
3 53119.35625 15.935 0.020
3 53124.33878 16.236 0.022
3 53133.31167 16.703 0.023
3 53133.31959 16.688 0.022
3 53133.32927 16.702 0.028
3 53134.23414 16.745 0.022
3 53134.24206 16.838 0.030
3 53135.15663 16.810 0.022
3 53135.16418 16.788 0.033
3 53137.24809 16.928 0.023
3 53140.18613 17.145 0.028
3 53145.26968 17.368 0.023
3 53176.19529 18.336 0.035
4 53112.24461 15.603 0.027
4 53116.35177 15.897 0.048
4 53119.35873 16.075 0.027
4 53122.31495 16.303 0.045
4 53124.34126 16.378 0.027
4 53133.31416 16.480 0.029
4 53133.32208 16.473 0.026
4 53133.33175 16.451 0.026
4 53134.23662 16.560 0.036
4 53134.24454 16.558 0.035
4 53135.16667 16.528 0.087
4 53137.25058 16.557 0.025
4 53140.18862 16.749 0.033
4 53145.27214 16.969 0.027
4 53178.20141 18.315 0.043
5 53112.23519 16.087 0.030
5 53116.35354 16.320 0.030
5 53119.36051 16.601 0.035
5 53124.34303 16.708 0.047
5 53145.27392 16.822 0.040
5 53176.19953 18.334 0.063
5 53178.20318 18.306 0.050
sn04ef
1 53265.14996 18.879 0.082
2 53263.19420 17.134 0.029
2 53265.14682 17.108 0.028
2 53288.30817 19.499 0.047
2 53288.32141 19.498 0.059
2 53296.13655 20.152 0.079
2 53312.23159 20.599 0.254
2 53328.13514 20.918 0.222
2 53353.10667 20.780 0.241
3 53263.18522 17.014 0.024
3 53265.14115 16.946 0.024
3 53288.30212 18.319 0.028
3 53288.31523 18.310 0.027
3 53296.12734 18.917 0.037
3 53312.24192 19.512 0.123
3 53320.10402 19.610 0.067
3 53328.12630 19.701 0.063
3 53353.09749 20.253 0.109
13 53263.19088 16.959 0.030
13 53265.15429 16.888 0.027
13 53288.29884 17.916 0.026
13 53296.13311 18.420 0.033
13 53312.22403 19.054 0.089
13 53320.10975 19.372 0.056
13 53353.10328 20.000 0.102
14 53263.19254 17.460 0.042
14 53265.15619 17.423 0.033
14 53288.30046 18.004 0.034
14 53288.31356 17.975 0.035
14 53296.13479 18.640 0.041
14 53312.22536 19.325 0.142
14 53312.24064 19.371 0.160
sn04fu
1 53322.12405 15.978 0.084
1 53352.10446 18.971 0.145
1 53353.07542 19.217 0.142
2 53322.12093 15.885 0.035
2 53334.19628 16.249 0.032
2 53335.08487 16.367 0.030
2 53336.07557 16.677 0.035
2 53339.07102 16.785 0.037
2 53352.10250 18.266 0.039
2 53353.07238 18.238 0.037
2 53500.40643 21.163 0.211
3 53321.09958 15.701 0.027
3 53322.11502 15.574 0.026
3 53334.19046 15.680 0.021
3 53335.08119 15.651 0.021
3 53336.07183 15.815 0.021
3 53339.06726 16.019 0.025
3 53353.06655 16.859 0.025
3 53500.40064 20.609 0.134
3 53560.34649 21.968 0.382
sn05M
1 53403.45378 17.274 0.063
1 53410.31252 17.408 0.057
1 53437.27099 18.901 0.081
1 53438.32253 19.043 0.089
1 53497.13409 20.458 0.312
1 53497.13806 20.419 0.298
2 53429.16901 18.182 0.044
2 53459.26181 19.844 0.081
2 53469.17354 19.974 0.085
2 53497.14215 20.488 0.134
3 53403.44493 16.057 0.019
3 53438.31285 17.421 0.024
3 53459.25528 18.558 0.033
3 53469.18251 19.245 0.060
3 53495.13190 19.503 0.068
3 53497.13156 19.600 0.074
13 53410.30539 16.119 0.024
13 53438.31541 17.118 0.028
13 53469.16964 18.951 0.048
13 53495.12795 19.563 0.074
13 53497.12762 19.697 0.085
14 53410.30731 16.722 0.024
14 53438.31733 17.255 0.030
14 53469.17156 18.931 0.048
14 53469.18702 18.925 0.048
14 53495.12987 19.314 0.085
sn05am
1 53437.25494 13.652 0.029
1 53438.27662 13.707 0.038
1 53469.15618 17.141 0.042
1 53473.13022 17.091 0.040
1 53474.12860 17.187 0.049
1 53476.14287 17.216 0.031
1 53481.13382 17.435 0.037
1 53482.13681 17.454 0.038
1 53486.13905 17.530 0.038
1 53494.13888 17.620 0.069
2 53437.25416 13.857 0.023
2 53438.27318 13.891 0.024
2 53438.27897 13.871 0.024
2 53438.28521 13.859 0.021
2 53439.24318 13.908 0.022
2 53440.25669 13.986 0.021
2 53441.30376 14.063 0.022
2 53443.21584 14.235 0.015
2 53450.11149 15.244 0.023
2 53453.11856 15.742 0.025
2 53459.23724 16.275 0.017
2 53469.15379 16.921 0.025
2 53473.13340 16.995 0.018
2 53473.14418 17.094 0.034
2 53474.13177 16.989 0.017
2 53474.14256 17.001 0.017
2 53474.15339 17.013 0.016
2 53476.14603 17.086 0.019
2 53477.14847 17.023 0.019
2 53481.13699 17.150 0.019
2 53482.13997 17.235 0.018
2 53482.16389 17.194 0.020
2 53486.14219 17.248 0.017
2 53494.14505 17.352 0.019
3 53437.25213 13.788 0.019
3 53438.26965 13.784 0.021
