Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-03-08.9    +23.2    INDEF   INDEF    16.083  0.100     15.303  0.035     15.041  0.033     15.070  0.041     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-03-09.1    +23.4    INDEF   INDEF    16.144  0.014     15.304  0.010     INDEF   INDEF    INDEF   INDEF    15.680  0.010     15.216  0.008     15.770  0.009     Swope  
2018-03-09.2    +23.5    INDEF   INDEF    16.126  0.031     15.375  0.035     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.297  0.024     15.694  0.043     PONM  
2018-03-09.2    +23.5    INDEF   INDEF    INDEF   INDEF    15.297  0.008     15.156  0.009     15.206  0.009     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-09.6    +23.9    INDEF   INDEF    16.192  0.032     15.379  0.011     INDEF   INDEF    INDEF   INDEF    15.629  0.006     15.262  0.005     15.701  0.008     TNT  
2018-03-10.2    +24.5    INDEF   INDEF    16.165  0.036     15.372  0.045     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.242  0.024     15.620  0.026     DEMONEXT  
2018-03-10.2    +24.5    INDEF   INDEF    INDEF   INDEF    15.338  0.016     15.163  0.024     15.206  0.023     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-10.7    +25.0    INDEF   INDEF    16.330  0.033     15.444  0.011     INDEF   INDEF    INDEF   INDEF    15.744  0.005     15.311  0.005     15.720  0.007     TNT  
2018-03-11.8    +26.1    INDEF   INDEF    16.368  0.051     15.473  0.016     INDEF   INDEF    INDEF   INDEF    15.880  0.043     15.287  0.010     15.656  0.027     LJT  
2018-03-11.9    +26.2    16.765  0.045     16.452  0.031     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    LCO  
2018-03-12.1    +26.4    INDEF   INDEF    16.389  0.037     15.504  0.055     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.282  0.020     15.641  0.036     DEMONEXT  
2018-03-12.2    +26.5    INDEF   INDEF    16.406  0.016     15.486  0.010     INDEF   INDEF    INDEF   INDEF    15.949  0.010     15.267  0.008     15.734  0.009     Swope  
2018-03-12.6    +26.9    INDEF   INDEF    16.349  0.045     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    TNT  
2018-03-12.7    +27.0    INDEF   INDEF    16.452  0.046     15.549  0.016     INDEF   INDEF    INDEF   INDEF    15.964  0.011     15.306  0.013     15.647  0.029     LJT  
2018-03-12.8    +27.1    INDEF   INDEF    INDEF   INDEF    15.482  0.103     15.155  0.064     15.117  0.072     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-03-13.1    +27.4    INDEF   INDEF    16.468  0.018     15.477  0.011     INDEF   INDEF    INDEF   INDEF    15.965  0.011     15.314  0.009     15.641  0.010     Swope  
2018-03-13.2    +27.5    16.774  0.031     16.472  0.018     15.549  0.015     INDEF   INDEF    INDEF   INDEF    16.001  0.005     15.365  0.005     15.633  0.011     LCO  
2018-03-13.3    +27.6    INDEF   INDEF    INDEF   INDEF    15.481  0.009     15.167  0.009     15.075  0.009     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-13.4    +27.7    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.373  0.008     15.616  0.014     LCO  
2018-03-13.8    +28.2    INDEF   INDEF    16.559  0.075     15.529  0.023     15.134  0.044     14.995  0.036     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-03-14.1    +28.4    INDEF   INDEF    16.503  0.016     15.561  0.011     INDEF   INDEF    INDEF   INDEF    16.094  0.010     15.335  0.008     15.662  0.009     Swope  
2018-03-14.2    +28.5    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-14.7    +29.0    INDEF   INDEF    16.634  0.054     15.666  0.026     INDEF   INDEF    INDEF   INDEF    16.118  0.014     15.357  0.020     15.603  0.036     LJT  
2018-03-14.8    +29.1    INDEF   INDEF    16.612  0.051     15.572  0.035     15.161  0.045     14.998  0.041     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-03-15.1    +29.4    INDEF   INDEF     16.591  0.018     15.600  0.011     INDEF   INDEF    INDEF   INDEF    16.159  0.010     15.353  0.009     15.645  0.009     Swope  
2018-03-15.6    +29.9    INDEF   INDEF    16.650  0.034     15.673  0.015     INDEF   INDEF    INDEF   INDEF    16.092  0.009     15.411  0.011     15.635  0.017     TNT  
2018-03-16.1    +30.4    16.902  0.081     16.724  0.018     15.718  0.015     INDEF   INDEF    INDEF   INDEF    16.245  0.005     15.446  0.004     15.621  0.007     LCO  
2018-03-16.1    +30.4    INDEF   INDEF     16.650  0.016     15.672  0.012     INDEF   INDEF    INDEF   INDEF    16.214  0.011     15.411  0.009     15.621  0.009     Swope  
2018-03-16.3    +30.6    INDEF   INDEF    INDEF   INDEF    15.601  0.013     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-17.1    +31.4    INDEF   INDEF     16.754  0.018     15.768  0.012     INDEF   INDEF    INDEF   INDEF    16.314  0.011     15.437  0.009     15.642  0.009     Swope  
2018-03-18.1    +32.4    INDEF   INDEF     16.832  0.018     15.847  0.012     INDEF   INDEF    INDEF   INDEF    16.395  0.011     15.502  0.008     15.722  0.009     Swope  
2018-03-18.5    +32.8    INDEF   INDEF    16.973  0.039     15.876  0.015     INDEF   INDEF    INDEF   INDEF    16.350  0.008     15.599  0.013     15.746  0.014     TNT  
2018-03-19.1    +33.4    INDEF   INDEF    16.919  0.022     15.878  0.015     INDEF   INDEF    INDEF   INDEF    16.436  0.007     15.605  0.006     15.706  0.009     LCO  
2018-03-19.1    +33.4    INDEF   INDEF     16.910  0.018     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    16.383  0.011     15.534  0.008     15.684  0.009     Swope  
2018-03-19.5    +33.8    INDEF   INDEF    16.996  0.036     15.941  0.014     INDEF   INDEF    INDEF   INDEF    16.385  0.012     15.660  0.009     15.804  0.016     TNT  
2018-03-20.1    +34.4    INDEF   INDEF     16.984  0.018     15.868  0.013     INDEF   INDEF    INDEF   INDEF    16.535  0.011     15.644  0.008     INDEF   INDEF    Swope  
2018-03-20.1    +34.4    INDEF   INDEF    16.983  0.015     15.866  0.010     INDEF   INDEF    INDEF   INDEF    16.540  0.008     15.649  0.005     INDEF   INDEF    Konkoly  
2018-03-21.0    +35.3    INDEF   INDEF    17.012  0.018     15.968  0.012     INDEF   INDEF    INDEF   INDEF    16.542  0.012     15.656  0.009     15.820  0.009     Swope  
2018-03-21.3    +35.6    INDEF   INDEF    INDEF   INDEF    15.884  0.011     15.539  0.012     15.267  0.013     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-21.6    +35.9    INDEF   INDEF    17.114  0.039     16.047  0.021     INDEF   INDEF    INDEF   INDEF    16.496  0.018     15.823  0.037     15.926  0.069     TNT  
2018-03-22.5    +36.8    INDEF   INDEF    17.128  0.035     16.068  0.013     INDEF   INDEF    INDEF   INDEF    16.528  0.008     15.831  0.008     15.930  0.011     TNT  
2018-03-23.1    +37.4    INDEF   INDEF     17.196  0.020     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Swope  
2018-03-23.6    +37.9    INDEF   INDEF    17.123  0.037     16.137  0.018     INDEF   INDEF    INDEF   INDEF    16.583  0.013     15.907  0.012     16.017  0.016     TNT  
2018-03-24.1    +38.4    17.359  0.131     17.170  0.133     16.152  0.021     INDEF   INDEF    INDEF   INDEF    16.687  0.016     15.882  0.011     15.964  0.017     LCO  
2018-03-24.1    +38.4    INDEF   INDEF     17.149  0.023     16.117  0.013     INDEF   INDEF    INDEF   INDEF    16.679  0.015     15.870  0.010     16.002  0.011     Swope  
2018-03-24.3    +38.6    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.414  0.306     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-24.7    +39.0    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    16.635  0.012     15.957  0.010     16.074  0.015     TNT  
2018-03-25.1    +39.4    INDEF   INDEF    17.266  0.025     16.205  0.015     INDEF   INDEF    INDEF   INDEF    16.681  0.016     15.948  0.011     16.054  0.012     Swope  
2018-03-26.1    +40.4    INDEF   INDEF     17.190  0.025     16.239  0.015     INDEF   INDEF    INDEF   INDEF    16.804  0.016     16.011  0.011     INDEF   INDEF    Swope  
2018-03-27.1    +41.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    16.794  0.048     15.984  0.034     16.269  0.044     Swope  
2018-03-29.1    +43.4    17.372  0.135     17.140  0.079     16.272  0.051     INDEF   INDEF    INDEF   INDEF    16.983  0.055     16.159  0.041     16.293  0.061     LCO  
2018-03-29.3    +43.6    INDEF   INDEF    INDEF   INDEF    16.276  0.021     15.926  0.023     15.721  0.022     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-31.3    +45.6    INDEF   INDEF    INDEF   INDEF    16.298  0.054     16.037  0.073     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-04-01.7    +47.0    INDEF   INDEF    17.283  0.049     16.459  0.019     INDEF   INDEF    INDEF   INDEF    16.864  0.015     16.257  0.015     16.467  0.030     LJT  
2018-04-02.7    +48.0    INDEF   INDEF    17.296  0.063     16.507  0.028     INDEF   INDEF    INDEF   INDEF    16.936  0.020     16.346  0.035     INDEF   INDEF    LJT  
2018-04-03.7    +49.0    INDEF   INDEF    17.404  0.047     16.584  0.028     INDEF   INDEF    INDEF   INDEF    16.912  0.017     16.358  0.016     16.544  0.032     LJT  
2018-04-04.1    +49.4    17.502  0.093     INDEF   INDEF    16.482  0.028     INDEF   INDEF    INDEF   INDEF    16.912  0.026     16.321  0.019     16.541  0.028     LCO  
2018-04-04.2    +49.5    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-04-05.3    +50.6    INDEF   INDEF    INDEF   INDEF    16.445  0.016     16.229  0.017     16.021  0.018     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-04-07.0    +52.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    16.885  0.002     INDEF   INDEF    16.819  0.002     Decam  
2018-04-07.1    +52.4    INDEF   INDEF     17.438  0.018     16.593  0.013     INDEF   INDEF    INDEF   INDEF    17.001  0.011     16.451  0.010     16.700  0.013     Swope  
2018-04-07.6    +52.9    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    16.396  0.221     INDEF   INDEF    TNT  
2018-04-08.6    +53.9    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    16.989  0.009     16.553  0.010     16.779  0.013     TNT  
2018-04-10.6    +55.9    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    16.992  0.008     16.590  0.008     16.820  0.010     TNT  
2018-04-12.0    +57.3    INDEF   INDEF     17.541  0.014     16.761  0.011     INDEF   INDEF    INDEF   INDEF    17.159  0.011     16.649  0.009     16.937  0.012     Swope  
2018-04-12.7    +58.0    INDEF   INDEF    17.473  0.056     16.831  0.101     INDEF   INDEF    INDEF   INDEF    17.043  0.048     16.861  0.340     INDEF   INDEF    LJT  
2018-04-13.0    +58.3    INDEF   INDEF    17.518  0.015     16.759  0.012     INDEF   INDEF    INDEF   INDEF    17.100  0.010     16.653  0.009     16.915  0.011     Swope  
2018-04-14.0    +59.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    16.978  0.002     INDEF   INDEF    17.09  0.001     Decam  
2018-04-14.1    +59.4    INDEF   INDEF    17.570  0.015     16.768  0.011     INDEF   INDEF    INDEF   INDEF    17.149  0.010     16.660  0.009     16.978  0.011     Swope  
2018-04-15.1    +60.4    INDEF   INDEF     17.537  0.015     16.731  0.011     INDEF   INDEF    INDEF   INDEF    17.108  0.010     16.654  0.009     16.926  0.011     Swope  
2018-04-15.5    +60.8    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.133  0.011     16.814  0.016     17.080  0.017     TNT  
2018-04-16.0    +61.3    19.431  0.274     17.678  0.016     16.826  0.013     INDEF   INDEF    INDEF   INDEF    17.513  0.031     16.808  0.011     17.097  0.016     Swope  
2018-04-16.6    +61.9    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.143  0.015     16.829  0.017     17.106  0.015     TNT  
2018-04-17.0    +62.3    19.540  0.264     17.495  0.028     16.857  0.024     INDEF   INDEF    INDEF   INDEF    17.173  0.015     16.696  0.016     INDEF   INDEF    Swope  
2018-04-17.0    +63.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.087  0.002     INDEF   INDEF    17.243  0.002     Decam  
2018-04-17.6    +62.9    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.133  0.017     16.841  0.014     17.073  0.018     TNT  
2018-04-18.0    +63.3    19.553  0.246     17.686  0.022     16.933  0.016     INDEF   INDEF    INDEF   INDEF    17.297  0.015     16.823  0.015     17.129  0.027     Swope  
2018-04-20.5    +65.8    INDEF   INDEF    17.536  0.069     16.908  0.039     INDEF   INDEF    INDEF   INDEF    17.119  0.040     16.835  0.023     17.040  0.043     TNT  
2018-04-23.5    +68.8    INDEF   INDEF    17.802  0.114     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    TNT  
2018-04-24.0    +70.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.229  0.002     INDEF   INDEF    17.519  0.002     Decam  
2018-04-25.0    +70.3    19.518  0.266     17.711  0.030     17.030  0.019     INDEF   INDEF    INDEF   INDEF    17.401  0.019     17.022  0.015     17.438  0.020     Swope  
2018-04-25.6    +70.9    INDEF   INDEF    17.687  0.079     17.054  0.041     INDEF   INDEF    INDEF   INDEF    17.271  0.049     17.070  0.042     17.384  0.084     TNT  
2018-04-26.5    +71.8    INDEF   INDEF    INDEF   INDEF    17.122  0.039     INDEF   INDEF    INDEF   INDEF    17.271  0.040     17.157  0.035     17.430  0.063     TNT  
2018-04-28.5    +73.8    INDEF   INDEF    17.674  0.150     17.115  0.127     INDEF   INDEF    INDEF   INDEF    17.336  0.108     17.042  0.076     17.268  0.114     TNT  
2018-05-02.0    +78.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.797  0.004     Decam  
2018-05-03.0    +79.3    INDEF   INDEF    INDEF   INDEF    17.279  0.011     INDEF   INDEF    INDEF   INDEF    17.477  0.011     17.296  0.010     17.703  0.016     Swope  
2018-05-04.5    +79.8    INDEF   INDEF    17.747  0.051     17.282  0.039     INDEF   INDEF    INDEF   INDEF    17.388  0.034     17.331  0.029     17.593  0.055     TNT  
2018-05-06.0    +81.3    19.837  0.241     17.944  0.019     17.326  0.016     INDEF   INDEF    INDEF   INDEF    17.538  0.013     17.382  0.013     17.775  0.022     Swope  
2018-05-07.0    +83.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.473  0.004     INDEF   INDEF    18.028  0.01     Decam  
2018-05-07.0    +83.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.495  0.009     INDEF   INDEF    18.042  0.016     Decam  
2018-05-08.5    +83.8    INDEF   INDEF    17.840  0.047     17.384  0.042     INDEF   INDEF    INDEF   INDEF    17.378  0.032     17.483  0.066     17.497  0.045     TNT  
2018-05-09.0    +84.3    INDEF   INDEF    17.921  0.017     17.332  0.014     INDEF   INDEF    INDEF   INDEF    17.528  0.012     17.448  0.015     17.855  0.020     Swope  
2018-05-10.0    +86.3    19.585  0.252     17.976  0.021     17.398  0.016     INDEF   INDEF    INDEF   INDEF    17.601  0.014     17.525  0.019     17.906  0.029     Swope  
2018-05-12.0    +88.3    19.440  0.359     18.126  0.019     17.545  0.017     INDEF   INDEF    INDEF   INDEF    17.699  0.013     17.672  0.016     18.018  0.027     Swope  
2018-05-17.0    +92.3    19.717  0.242     18.111  0.016     17.587  0.016     INDEF   INDEF    INDEF   INDEF    17.721  0.011     17.719  0.012     18.176  0.022     Swope  
2018-05-18.6    +93.9    INDEF   INDEF    17.818  0.063     17.550  0.056     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    TNT  
2018-05-19.0    +95.3    INDEF   INDEF    18.196  0.018     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.827  0.014     INDEF   INDEF    INDEF   INDEF    Swope  
2018-05-20.0    +95.3    19.922  0.271     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Swope  
2018-05-22.0    +98.3    20.149  0.316     18.259  0.017     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.911  0.013     18.325  0.019     Swope  
2018-05-24.5    +99.8    INDEF   INDEF    17.938  0.174     17.739  0.080     INDEF   INDEF    INDEF   INDEF    17.714  0.060     17.813  0.050     18.131  0.108     TNT  
2018-05-25.0    +100.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    17.897  0.013     17.962  0.013     18.402  0.017     Swope  
2018-06-03.0    +110.3    19.680  0.241     18.386  0.012     17.921  0.010     INDEF   INDEF    INDEF   INDEF    18.000  0.010     18.260  0.018     18.664  0.030     Swope  
2018-06-06.9    +113.3    20.098  0.306     18.326  0.016     18.011  0.015     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Swope  
2018-06-07.0    +114.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    18.014  0.010     18.325  0.013     18.677  0.025     Swope  
