Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-02-09.2    -4.5    INDEF   INDEF    14.487  0.033     14.591  0.012     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.540  0.004     14.887  0.005     PONM  
2018-02-09.2    -4.5    INDEF   INDEF    INDEF   INDEF    14.450  0.004     14.397  0.005     14.555  0.006     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-02-09.3    -4.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.342  0.018     14.556  0.019     INDEF   INDEF    Gemini  
2018-02-09.5    -4.2    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.359  0.002     INDEF   INDEF    14.926  0.003     PS1  
2018-02-09.7    -4.0    INDEF   INDEF    14.411  0.030     14.505  0.010     INDEF   INDEF    INDEF   INDEF    14.327  0.003     14.543  0.004     INDEF   INDEF    TNT  
2018-02-10.3    -3.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.266  0.008     14.471  0.012     INDEF   INDEF    Gemini  
2018-02-10.5    -3.2    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.307  0.002     14.476  0.002     INDEF   INDEF    PS1  
2018-02-10.5    -3.2    INDEF   INDEF    14.426  0.032     14.520  0.032     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.511  0.027     INDEF   INDEF    DEMONEXT  
2018-02-10.7    -3.0    INDEF   INDEF    14.375  0.031     14.483  0.010     INDEF   INDEF    INDEF   INDEF    14.287  0.005     14.528  0.008     14.949  0.010     TNT  
2018-02-10.9    -2.8    13.950  0.026     14.323  0.015     14.443  0.013     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.493  0.010     INDEF   INDEF    LCO  
2018-02-10.9    -2.8    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.499  0.005     14.936  0.007     LCO  
2018-02-11.2    -2.5    INDEF   INDEF    14.383  0.022     14.476  0.022     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.449  0.013     14.905  0.024     DEMONEXT  
2018-02-11.2    -2.5    INDEF   INDEF    14.352  0.028     14.438  0.010     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.441  0.005     14.884  0.007     PONM  
2018-02-11.3    -2.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.273  0.002     INDEF   INDEF    14.961  0.003     PS1  
2018-02-11.3    -2.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.235  0.014     14.446  0.013     INDEF   INDEF    Gemini  
2018-02-11.7    -2.0    INDEF   INDEF    14.331  0.031     14.435  0.010     INDEF   INDEF    INDEF   INDEF    14.241  0.004     14.498  0.005     14.957  0.008     TNT  
2018-02-11.9    -1.8    INDEF   INDEF    14.305  0.050     14.406  0.045     14.236  0.028     14.453  0.030     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-02-12.1    -1.6    13.967  0.028     14.389  0.022     14.391  0.014     INDEF   INDEF    INDEF   INDEF    14.231  0.001     14.427  0.002     14.920  0.004     LCO  
2018-02-12.2    -1.5    INDEF   INDEF     14.337  0.011     14.281  0.010     INDEF   INDEF    INDEF   INDEF    14.572  0.018     14.398  0.008     14.968  0.009     Swope  
2018-02-12.3    -1.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.242  0.002     14.402  0.002     INDEF   INDEF    PS1  
2018-02-12.3    -1.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.203  0.013     14.424  0.024     INDEF   INDEF    Gemini  
2018-02-12.4    -1.3    INDEF   INDEF    14.333  0.022     14.430  0.023     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.388  0.013     14.897  0.020     DEMONEXT  
2018-02-12.8    -0.9    INDEF   INDEF    14.300  0.030     14.393  0.012     INDEF   INDEF    INDEF   INDEF    14.220  0.003     14.465  0.004     14.982  0.004     TNT  
2018-02-13.2    -0.5    13.973  0.028     14.353  0.015     14.338  0.014     INDEF   INDEF    INDEF   INDEF    14.210  0.002     14.378  0.002     INDEF   INDEF    LCO  
