#Standard System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   STDMAG dMAG
sn01C
1 53665.41251 17.462 0.044
1 53665.42531 17.369 0.037
1 53665.42895 17.498 0.044
1 53666.47774 17.500 0.040
1 53666.48138 17.639 0.044
1 53667.39496 17.646 0.043
1 53667.39860 17.763 0.044
1 53667.41167 17.713 0.048
1 53667.41531 17.843 0.054
1 53669.50823 17.914 0.064
1 53677.42040 18.372 0.072
1 53677.42404 18.382 0.078
1 53677.43679 18.479 0.076
1 53678.43050 18.393 0.061
1 53678.43413 18.448 0.060
1 53679.42615 18.448 0.068
1 53680.43139 18.538 0.070
1 53680.43502 18.391 0.067
1 53680.44866 18.463 0.080
1 53680.45230 18.531 0.072
1 53682.42892 18.540 0.075
1 53684.46577 18.742 0.095
1 53684.46941 18.690 0.105
1 53685.44103 18.730 0.092
1 53685.44466 18.784 0.115
1 53686.42207 18.650 0.088
1 53686.42569 18.746 0.098
1 53686.43899 18.768 0.102
1 53686.44263 18.717 0.111
1 53687.43343 18.812 0.133
1 53687.44645 18.784 0.117
1 53687.45008 18.884 0.117
1 53688.41248 19.038 0.169
1 53688.41612 19.110 0.150
1 53688.44873 18.861 0.126
1 53690.43770 19.134 0.214
1 53691.43660 18.998 0.180
1 53695.44181 18.987 0.143
1 53695.44544 19.005 0.136
1 53696.43459 19.099 0.142
1 53696.43823 19.199 0.157
1 53706.43504 19.004 0.133
1 53707.35550 19.225 0.158
1 53725.37175 19.364 0.188
1 53731.32031 19.436 0.236
1 53745.31247 19.232 0.289
2 53640.44720 15.782 0.011
2 53641.46641 15.603 0.010
2 53645.51117 15.311 0.010
2 53650.43220 15.421 0.010
2 53656.41670 15.900 0.010
2 53666.48514 17.270 0.016
2 53667.40237 17.379 0.018
2 53667.41907 17.316 0.017
2 53669.50517 17.612 0.023
2 53676.37744 18.153 0.029
2 53677.42780 18.204 0.029
2 53677.44420 18.199 0.029
2 53678.43790 18.246 0.030
2 53679.42311 18.318 0.024
2 53680.45606 18.558 0.038
2 53683.44991 18.565 0.090
2 53684.47318 18.414 0.035
2 53685.43170 18.577 0.035
2 53685.44845 18.548 0.035
2 53686.41281 18.513 0.038
2 53686.42948 18.528 0.037
2 53686.44640 18.566 0.032
2 53687.43720 18.569 0.045
2 53687.45385 18.548 0.043
2 53688.41988 18.562 0.042
2 53688.43932 18.406 0.038
2 53688.45615 18.496 0.044
2 53695.44921 18.693 0.054
2 53696.44199 18.762 0.046
2 53706.43199 18.965 0.055
2 53707.35243 19.052 0.058
2 53713.32009 18.935 0.058
2 53714.29066 19.106 0.062
2 53725.34957 19.221 0.077
2 53725.36800 19.338 0.079
2 53727.26477 19.351 0.074
2 53729.29935 19.420 0.082
2 53731.31655 19.503 0.064
2 53737.36787 19.663 0.104
3 53640.44110 15.671 0.022
3 53640.44156 15.651 0.012
3 53641.46037 15.533 0.010
3 53641.46077 15.522 0.010
3 53645.50435 15.258 0.011
3 53645.50551 15.253 0.011
3 53650.42596 15.281 0.012
3 53650.42657 15.284 0.013
3 53656.41065 15.634 0.013
3 53656.41104 15.631 0.009
3 53656.42741 15.673 0.029
3 53663.39286 16.100 0.011
3 53663.41788 16.071 0.011
3 53665.40653 16.193 0.012
3 53665.42296 16.179 0.012
3 53666.47539 16.269 0.012
3 53667.39262 16.321 0.011
3 53667.40932 16.313 0.011
3 53669.49954 16.480 0.012
3 53676.37179 16.961 0.015
3 53677.41806 17.030 0.015
3 53677.43446 17.027 0.015
3 53678.42816 17.093 0.016
3 53679.41748 17.135 0.015
3 53680.42903 17.174 0.016
3 53680.44633 17.184 0.015
3 53682.42022 17.263 0.019
3 53684.46345 17.349 0.019
3 53685.42193 17.397 0.019
3 53685.43869 17.389 0.015
3 53686.40306 17.393 0.022
3 53686.41972 17.393 0.019
3 53686.43664 17.400 0.019
3 53687.42744 17.427 0.023
3 53687.44411 17.461 0.020
3 53688.41014 17.453 0.023
3 53688.42957 17.509 0.025
3 53688.44641 17.416 0.020
3 53689.40681 17.524 0.023
3 53695.43946 17.685 0.030
3 53696.43225 17.695 0.025
3 53706.42633 17.938 0.027
3 53707.34676 18.032 0.031
3 53713.20965 18.228 0.052
3 53713.31233 18.111 0.038
3 53714.28288 18.234 0.034
3 53724.33617 18.416 0.037
3 53725.34178 18.515 0.042
3 53725.36021 18.551 0.041
3 53727.25698 18.493 0.041
3 53729.29155 18.627 0.049
3 53730.27769 18.589 0.049
3 53731.30880 18.635 0.030
3 53737.36007 18.769 0.051
3 53745.30095 19.065 0.075
13 53640.44394 15.626 0.014
13 53641.46315 15.508 0.010
13 53645.50788 15.303 0.015
13 53650.42894 15.313 0.010
13 53656.41343 15.809 0.010
13 53663.38956 16.076 0.011
13 53663.41458 16.085 0.012
13 53665.40314 16.094 0.014
13 53665.41966 16.092 0.012
13 53666.47209 16.111 0.011
13 53667.38932 16.130 0.011
13 53667.40600 16.134 0.011
13 53669.50190 16.233 0.012
13 53676.37417 16.752 0.015
13 53677.41476 16.823 0.012
13 53677.43115 16.816 0.013
13 53678.42485 16.883 0.013
13 53679.41985 16.945 0.014
13 53680.42571 16.989 0.014
13 53680.44299 17.008 0.014
13 53681.37692 17.057 0.019
13 53682.42258 17.107 0.015
13 53683.42005 17.162 0.057
13 53684.46014 17.202 0.017
13 53685.41863 17.216 0.015
13 53685.43532 17.235 0.015
13 53686.39976 17.258 0.018
13 53686.41640 17.270 0.016
13 53686.43332 17.261 0.017
13 53687.42416 17.295 0.019
13 53687.44080 17.318 0.017
13 53688.40681 17.348 0.019
13 53688.42627 17.349 0.020
13 53688.44309 17.357 0.018
13 53689.40919 17.380 0.020
13 53690.42841 17.495 0.025
13 53695.43616 17.605 0.026
13 53696.42895 17.605 0.019
13 53706.42873 17.992 0.026
13 53707.34916 17.946 0.032
13 53713.21273 18.180 0.042
13 53713.31541 18.213 0.048
13 53713.41615 18.168 0.093
13 53714.28597 18.254 0.032
13 53725.34487 18.673 0.044
13 53725.36329 18.620 0.043
13 53727.26007 18.702 0.043
13 53729.29464 18.751 0.042
13 53730.28077 18.827 0.049
13 53731.31187 18.831 0.039
13 53737.36315 19.057 0.044
13 53745.30404 19.200 0.072
14 53640.44553 15.838 0.016
14 53641.46474 15.733 0.011
14 53645.50948 15.768 0.012
14 53650.43053 15.931 0.012
14 53656.41502 16.553 0.014
14 53663.39116 16.567 0.031
14 53665.40474 16.461 0.015
14 53665.42126 16.433 0.014
14 53666.47369 16.394 0.013
14 53667.39091 16.409 0.012
14 53667.40762 16.398 0.013
14 53669.50349 16.355 0.014
14 53676.37579 16.779 0.016
14 53677.41635 16.876 0.015
14 53677.43274 16.860 0.015
14 53678.42645 16.952 0.016
14 53679.42145 17.029 0.017
14 53680.42733 17.063 0.018
14 53680.44460 17.057 0.016
14 53681.37852 16.986 0.038
14 53682.42418 17.207 0.020
14 53683.42164 17.289 0.071
14 53684.46174 17.287 0.018
14 53685.42022 17.377 0.019
14 53685.43696 17.385 0.020
14 53686.40135 17.410 0.020
14 53686.41802 17.411 0.021
14 53686.43492 17.441 0.022
14 53687.42574 17.453 0.025
14 53687.44240 17.467 0.022
14 53688.40841 17.501 0.022
14 53688.42787 17.465 0.020
14 53688.44469 17.505 0.022
14 53689.41080 17.573 0.026
14 53690.43001 17.633 0.025
14 53695.43774 17.715 0.029
14 53696.43054 17.835 0.027
14 53706.43031 18.250 0.037
14 53707.35076 18.229 0.038
14 53713.21505 18.444 0.045
14 53714.28827 18.618 0.046
14 53725.34719 19.112 0.069
14 53725.36560 19.088 0.073
14 53727.26238 19.112 0.077
14 53729.29697 19.258 0.079
14 53730.28307 19.257 0.092
14 53731.31418 19.265 0.079
14 53737.36546 19.366 0.093
14 53745.30633 19.737 0.128
sn05eq
1 53648.37413 16.347 0.052
1 53650.41586 16.249 0.047
1 53650.41948 16.236 0.048
1 53656.37312 16.423 0.049
1 53656.37676 16.411 0.049
1 53663.36580 17.131 0.057
1 53665.38425 17.351 0.094
1 53666.45335 17.424 0.094
1 53667.44598 17.452 0.053
1 53671.31894 18.003 0.058
1 53676.35193 18.439 0.075
1 53677.35830 18.545 0.089
1 53678.37216 18.684 0.085
1 53680.36964 18.760 0.095
1 53681.32058 19.096 0.121
1 53681.32422 19.086 0.137
1 53682.36603 19.082 0.176
1 53685.35513 19.540 0.328
1 53706.35326 19.679 0.289
1 53710.31506 19.657 0.288
1 53714.23516 19.631 0.302
1 53724.31119 19.812 0.326
2 53648.37103 16.752 0.017
2 53650.41278 16.629 0.015
2 53656.37002 16.623 0.015
2 53665.38802 17.092 0.018
2 53666.45712 17.172 0.021
2 53667.37411 17.240 0.017
2 53667.45339 17.241 0.023
2 53671.31583 17.643 0.019
2 53676.34520 18.172 0.029
2 53677.36571 18.264 0.028
2 53678.37594 18.323 0.026
2 53679.35620 18.457 0.027
2 53680.37704 18.501 0.028
2 53681.32799 18.662 0.028
2 53682.35929 18.667 0.033
2 53683.36926 18.798 0.043
2 53695.33037 19.410 0.109
2 53696.34661 19.593 0.147
2 53706.35016 19.673 0.073
2 53710.30832 19.859 0.072
2 53729.22442 20.126 0.086
2 53730.27372 20.018 0.154
2 53731.26619 20.124 0.098
2 53737.25718 20.218 0.111
3 53648.36417 16.652 0.023
3 53648.36538 16.657 0.014
3 53650.40674 16.546 0.028
3 53650.40711 16.518 0.013
3 53656.36402 16.480 0.029
3 53656.36439 16.451 0.014
3 53663.36345 16.679 0.024
3 53664.45998 16.735 0.027
3 53665.37829 16.740 0.017
3 53666.44736 16.793 0.019
3 53667.36436 16.854 0.015
3 53667.44365 16.836 0.014
3 53671.31016 17.054 0.015
3 53676.33954 17.344 0.020
3 53677.35596 17.379 0.019
3 53678.36622 17.412 0.019
3 53679.35056 17.467 0.019
3 53680.36729 17.505 0.019
3 53681.31237 17.563 0.023
3 53681.31826 17.517 0.020
3 53682.35365 17.596 0.028
3 53683.35951 17.595 0.072
3 53685.35278 17.739 0.032
3 53686.32208 17.820 0.027
3 53688.31898 17.796 0.052
3 53695.32063 18.237 0.042
3 53696.33685 18.379 0.046
3 53706.34450 18.675 0.037
3 53710.30266 18.849 0.046
3 53714.22643 18.916 0.062
3 53724.29888 19.321 0.116
3 53731.26052 19.311 0.062
3 53737.25153 19.484 0.055
13 53648.36777 16.726 0.015
13 53650.40950 16.592 0.014
13 53656.36676 16.488 0.014
13 53663.36014 16.698 0.019
13 53664.45669 16.755 0.027
13 53665.37494 16.813 0.024
13 53666.44406 16.873 0.017
13 53667.36103 16.911 0.018
13 53667.44035 16.920 0.017
13 53671.31255 17.108 0.018
13 53676.34193 17.205 0.016
13 53677.35264 17.263 0.021
13 53678.36291 17.235 0.015
13 53679.35293 17.241 0.016
13 53680.36399 17.301 0.015
13 53681.31494 17.321 0.019
13 53682.35602 17.310 0.019
13 53683.35620 17.355 0.019
13 53685.34947 17.416 0.020
13 53686.31876 17.449 0.021
13 53687.34186 17.517 0.029
13 53688.31566 17.569 0.025
13 53694.31711 17.932 0.033
13 53695.31732 17.941 0.028
13 53696.33357 18.024 0.028
13 53706.34688 18.373 0.024
13 53710.30503 18.559 0.032
13 53713.27780 18.670 0.196
13 53729.22112 19.092 0.045
13 53730.27045 19.359 0.061
13 53731.26291 19.077 0.052
13 53737.25389 19.345 0.060
14 53648.36935 17.031 0.018
14 53650.41110 16.991 0.017
14 53656.36836 17.082 0.016
14 53663.36175 17.422 0.030
14 53665.37656 17.494 0.027
14 53666.44566 17.590 0.024
14 53667.36265 17.653 0.024
14 53667.44194 17.674 0.027
14 53671.31417 17.814 0.022
14 53676.34352 17.760 0.035
14 53677.35426 17.720 0.021
14 53678.36450 17.711 0.023
14 53679.35453 17.693 0.030
14 53680.36559 17.686 0.022
14 53681.31654 17.649 0.023
14 53682.35762 17.663 0.026
14 53683.35780 17.690 0.036
14 53685.35107 17.640 0.029
14 53686.32036 17.634 0.025
14 53687.34347 17.640 0.031
14 53688.31726 17.729 0.035
14 53694.31870 17.926 0.033
14 53695.31891 17.975 0.029
14 53696.33515 18.090 0.026
14 53706.34848 18.616 0.043
14 53707.31692 18.578 0.133
14 53710.30666 18.813 0.040
14 53714.23042 18.965 0.048
14 53724.30284 19.227 0.070
14 53730.27205 19.457 0.079
sn05eu
2 53654.47000 17.095 0.055
2 53656.26500 17.309 0.071
2 53676.36200 18.007 0.045
2 53677.38200 18.057 0.116
2 53678.39300 18.106 0.118
2 53680.39400 18.395 0.147
2 53682.37600 18.623 0.075
2 53683.38600 18.609 0.100
2 53687.37300 19.305 0.198
2 53687.39000 19.123 0.187
2 53688.34600 19.371 0.235
2 53691.40700 19.562 0.332
2 53693.40100 19.820 0.252
2 53695.39800 19.521 0.208
2 53696.39200 19.757 0.427
2 53706.39000 19.921 0.490
3 53650.30500 17.693 0.039
3 53654.46100 17.100 0.034
3 53654.46400 17.061 0.022
3 53656.25100 16.932 0.058
3 53656.26000 16.936 0.048
3 53656.28300 16.907 0.028
3 53664.44300 16.859 0.026
3 53665.35000 16.944 0.041
3 53666.41900 16.972 0.029
3 53667.33600 16.947 0.025
3 53669.48400 17.057 0.021
3 53673.34600 17.367 0.040
3 53676.35700 17.484 0.037
3 53678.38300 17.556 0.035
3 53679.36900 17.629 0.028
3 53680.38400 17.680 0.037
3 53681.33500 17.695 0.040
3 53682.37100 17.722 0.033
3 53687.38000 17.968 0.044
3 53692.38200 18.260 0.061
3 53693.39200 18.156 0.078
3 53694.37900 18.352 0.087
3 53695.38800 18.369 0.054
3 53697.32000 18.348 0.154
3 53706.38300 18.993 0.046
13 53650.30700 17.714 0.035
13 53654.46700 17.074 0.023
13 53656.28500 16.946 0.022
13 53663.32900 16.852 0.027
13 53664.43900 16.938 0.027
13 53665.34700 16.906 0.023
13 53666.41600 16.956 0.026
13 53667.33300 16.978 0.020
13 53669.48600 17.079 0.023
13 53673.34900 17.336 0.022
13 53676.35900 17.524 0.026
13 53677.36900 17.587 0.024
13 53678.38000 17.654 0.028
13 53679.37100 17.642 0.028
13 53680.38100 17.647 0.027
13 53681.33200 17.679 0.027
13 53682.37300 17.753 0.039
13 53683.37300 17.741 0.040
13 53686.33600 17.731 0.032
13 53687.37700 17.833 0.050
13 53688.33300 17.746 0.085
13 53691.39300 17.955 0.048
13 53692.37800 17.876 0.039
13 53693.38800 17.816 0.048
13 53694.37600 18.078 0.057
13 53695.38500 18.001 0.047
13 53696.37900 18.234 0.046
13 53706.38600 18.736 0.043
14 53650.30900 17.834 0.034
14 53654.46800 17.353 0.035
14 53656.26400 17.344 0.036
14 53656.28700 17.352 0.027
14 53664.44100 17.564 0.032
14 53665.34800 17.608 0.032
14 53666.41700 17.596 0.024
14 53667.33400 17.600 0.025
14 53669.48800 17.766 0.038
14 53673.35000 18.171 0.029
14 53676.36100 18.360 0.038
14 53677.37100 18.355 0.036
14 53678.38100 18.387 0.036
14 53679.37300 18.303 0.034
14 53680.38200 18.305 0.031
14 53681.33300 18.317 0.029
14 53682.37500 18.259 0.035
14 53683.37500 18.135 0.050
14 53685.36800 18.230 0.040
14 53686.33700 18.265 0.058
14 53687.36200 18.274 0.051
14 53687.37800 18.201 0.059
14 53691.39500 18.106 0.076
14 53694.37800 18.055 0.063
14 53695.38700 18.070 0.044
14 53696.38000 18.196 0.034
14 53706.38800 18.869 0.042
sn05ew
1 53650.45500 16.084 0.030
1 53656.39000 16.614 0.034
1 53676.42800 18.115 0.062
1 53677.40400 18.179 0.057
1 53678.41700 18.252 0.061
1 53679.44400 18.283 0.071
1 53680.41500 18.284 0.065
1 53680.41800 18.224 0.056
1 53681.36600 18.242 0.058
1 53681.36900 18.242 0.061
1 53682.41400 18.345 0.076
1 53686.37400 18.448 0.073
1 53692.40100 18.263 0.105
1 53695.40700 18.376 0.064
1 53696.40100 18.479 0.093
1 53706.41400 18.747 0.085
1 53707.34200 18.594 0.080
1 53714.21500 18.555 0.128
2 53650.45200 15.753 0.012
2 53656.38700 16.241 0.012
2 53676.42500 17.632 0.018
2 53677.41100 17.638 0.015
2 53678.42100 17.669 0.015
2 53679.44100 17.711 0.015
2 53680.42200 17.761 0.016
2 53681.37300 17.766 0.016
2 53682.41100 17.767 0.016
2 53686.37800 17.743 0.022
2 53686.39600 17.792 0.022
2 53687.41900 17.787 0.023
2 53688.38700 17.845 0.026
2 53694.40600 17.995 0.073
2 53706.41000 18.225 0.020
2 53707.33800 18.211 0.021
2 53713.38400 18.244 0.036
2 53714.21100 18.408 0.031
2 53737.35200 18.815 0.038
3 53650.44700 15.083 0.010
3 53656.38100 15.357 0.011
3 53676.41900 16.286 0.015
3 53677.40100 16.332 0.014
3 53678.41100 16.401 0.015
3 53679.43500 16.414 0.012
3 53680.41200 16.486 0.014
3 53681.36300 16.549 0.015
3 53682.40500 16.553 0.015
3 53683.40600 16.637 0.027
3 53686.36800 16.728 0.023
3 53686.38600 16.710 0.017
3 53688.37700 16.789 0.017
3 53688.39300 16.813 0.027
3 53692.39900 16.919 0.021
3 53693.40800 16.936 0.016
3 53694.39600 17.006 0.034
3 53696.39800 16.989 0.022
3 53697.30400 17.111 0.048
3 53706.40200 17.302 0.015
3 53707.33100 17.301 0.022
3 53713.17700 17.572 0.025
3 53713.37600 17.599 0.036
3 53714.20400 17.505 0.017
3 53737.34400 18.088 0.022
13 53650.44900 15.093 0.014
13 53656.38400 15.320 0.013
13 53677.39800 15.995 0.019
13 53678.40800 16.067 0.020
13 53679.43700 16.091 0.014
13 53680.40900 16.170 0.020
13 53681.36000 16.229 0.021
13 53682.40800 16.233 0.015
13 53683.40300 16.326 0.025
13 53686.36500 16.396 0.014
13 53686.38300 16.389 0.013
13 53687.40600 16.495 0.026
13 53688.37400 16.514 0.028
13 53688.39000 16.537 0.025
13 53693.40500 16.725 0.029
13 53694.39300 16.666 0.024
13 53695.40200 16.729 0.016
13 53696.39500 16.778 0.019
13 53697.30700 17.091 0.054
13 53706.40500 17.079 0.015
13 53707.33400 17.089 0.016
13 53713.18000 17.357 0.025
13 53713.37900 17.301 0.036
13 53714.20700 17.372 0.019
13 53737.34700 18.010 0.018
14 53650.45100 15.889 0.015
14 53656.38500 16.042 0.013
14 53676.42300 16.011 0.020
14 53677.40000 16.069 0.018
14 53678.41000 16.137 0.019
14 53679.43900 16.183 0.015
14 53680.41100 16.253 0.017
14 53681.36200 16.331 0.018
14 53682.40900 16.389 0.016
14 53683.40400 16.433 0.027
14 53686.36600 16.573 0.019
14 53686.38400 16.540 0.015
14 53687.40800 16.641 0.026
14 53688.37500 16.702 0.026
14 53688.39200 16.686 0.027
14 53693.40600 16.834 0.022
14 53694.39400 16.807 0.031
14 53695.40300 16.987 0.021
14 53696.39700 17.021 0.021
14 53706.40800 17.401 0.017
14 53707.33600 17.358 0.019
14 53713.18300 17.759 0.033
14 53713.38200 17.685 0.065
14 53714.20900 17.686 0.020
14 53737.34900 18.388 0.037
sn05hc
1 53665.31900 17.271 0.047
1 53665.32300 17.336 0.048
1 53666.40500 17.245 0.053
1 53666.40800 17.255 0.048
1 53667.30500 17.250 0.047
1 53667.30900 17.298 0.046
1 53667.32200 17.283 0.055
1 53667.32500 17.367 0.048
1 53673.28900 17.723 0.067
1 53673.29300 17.725 0.060
1 53675.23400 17.969 0.065
1 53675.23800 17.894 0.055
1 53676.26200 18.000 0.057
1 53676.26600 18.235 0.068
1 53677.30800 18.217 0.079
1 53677.31100 18.203 0.073
1 53678.30200 18.370 0.069
1 53678.30600 18.367 0.073
1 53679.26500 18.413 0.076
1 53680.29000 18.594 0.081
1 53680.29400 18.596 0.078
1 53681.21900 18.962 0.120
1 53681.22300 18.766 0.114
1 53682.30200 19.036 0.138
1 53682.30600 19.115 0.146
1 53683.24700 19.233 0.195
2 53664.40800 17.491 0.044
2 53664.42500 17.512 0.040
2 53665.32600 17.406 0.033
2 53666.41200 17.457 0.031
2 53667.31300 17.450 0.028
2 53667.32900 17.457 0.025
2 53673.28600 17.698 0.026
2 53676.25900 17.834 0.026
2 53677.31500 17.967 0.026
2 53679.26100 18.108 0.027
2 53680.29800 18.288 0.032
2 53682.29800 18.440 0.032
2 53696.29600 19.808 0.145
2 53707.23600 20.654 0.116
2 53727.24800 21.083 0.206
3 53664.41500 17.536 0.033
3 53665.31700 17.545 0.028
3 53665.33300 17.557 0.028
3 53666.40200 17.505 0.030
3 53667.30300 17.477 0.024
3 53667.31900 17.471 0.025
3 53673.28100 17.532 0.022
3 53676.25300 17.593 0.029
3 53677.30500 17.651 0.026
3 53678.30000 17.690 0.026
3 53679.25600 17.759 0.026
3 53680.28800 17.823 0.025
3 53681.21700 17.947 0.034
3 53682.28000 17.871 0.029
3 53682.29100 17.943 0.030
3 53683.24400 17.951 0.026
3 53692.31900 18.512 0.034
3 53693.33000 18.635 0.047
3 53695.26300 18.741 0.060
3 53696.28600 18.854 0.034
3 53697.22000 18.739 0.065
3 53706.33600 19.387 0.060
3 53707.22900 19.347 0.047
3 53727.24000 20.262 0.097
13 53664.41200 17.516 0.034
13 53665.31300 17.546 0.029
13 53665.33000 17.534 0.026
13 53666.39900 17.424 0.024
13 53667.30000 17.480 0.025
13 53667.31600 17.443 0.023
13 53673.28300 17.548 0.025
13 53676.25600 17.623 0.030
13 53677.30200 17.690 0.024
13 53678.29700 17.721 0.026
13 53679.25800 17.778 0.025
13 53680.28400 17.869 0.026
13 53681.21400 17.906 0.029
13 53683.24100 18.090 0.038
13 53692.31600 18.230 0.048
13 53693.32700 18.308 0.045
13 53695.26000 18.346 0.031
13 53696.28300 18.374 0.036
13 53697.22300 18.305 0.049
13 53706.33900 18.851 0.040
13 53707.23200 18.913 0.038
13 53727.24300 19.540 0.068
14 53664.39600 17.992 0.048
14 53664.41400 18.007 0.038
14 53665.33200 18.031 0.028
14 53666.40000 18.049 0.031
14 53667.30100 18.023 0.027
14 53667.31800 18.054 0.029
14 53673.28500 18.215 0.030
14 53675.22900 18.226 0.030
14 53676.25700 18.341 0.036
14 53677.30400 18.359 0.032
14 53678.29800 18.532 0.039
14 53679.26000 18.572 0.036
14 53680.28600 18.686 0.034
14 53681.21500 18.590 0.039
14 53682.29600 18.773 0.037
14 53683.24300 18.818 0.046
14 53692.31800 18.619 0.046
14 53693.32800 18.648 0.042
14 53695.26100 18.621 0.039
14 53696.28500 18.593 0.058
14 53697.22500 18.532 0.049
14 53706.34100 18.944 0.043
14 53707.23400 19.082 0.043
14 53727.24500 20.011 0.113
sn05hf
1 53670.24738 17.788 0.045
1 53671.24551 17.966 0.054
1 53674.38496 18.678 0.117
1 53674.38859 18.676 0.116
1 53676.29090 18.857 0.107
1 53676.29455 18.847 0.091
1 53677.32804 18.936 0.104
1 53678.33487 19.058 0.103
1 53678.33851 19.031 0.102
1 53679.28203 19.285 0.132
1 53680.33600 19.453 0.153
1 53680.33963 19.496 0.173
2 53671.24241 17.917 0.029
2 53674.38185 18.289 0.034
2 53676.28780 18.678 0.047
2 53677.33182 18.777 0.036
2 53678.34227 18.900 0.047
2 53679.27530 19.097 0.064
2 53681.27176 19.338 0.070
2 53685.31108 19.702 0.101
2 53695.36446 20.206 0.268
2 53696.26683 20.564 0.201
2 53714.15780 20.761 0.349
3 53670.23500 17.605 0.035
3 53671.23561 17.697 0.053
3 53674.36420 17.927 0.082
3 53674.37352 17.937 0.056
3 53674.37619 17.845 0.028
3 53676.28162 18.069 0.064
3 53677.32207 18.071 0.037
3 53679.26925 18.199 0.054
3 53679.26964 18.140 0.031
3 53680.33366 18.232 0.034
3 53685.33571 18.806 0.070
3 53687.29277 18.937 0.099
3 53692.33590 19.423 0.120
3 53696.25708 19.483 0.130
13 53670.23737 17.539 0.024
13 53674.37858 17.883 0.033
13 53676.28453 18.057 0.033
13 53677.31877 18.037 0.029
13 53679.27202 18.158 0.031
13 53685.33240 18.298 0.050
13 53692.33255 18.863 0.064
13 53694.33380 18.873 0.086
13 53695.35140 19.000 0.114
13 53727.23004 19.816 0.117
14 53677.32036 18.742 0.053
14 53679.27363 18.631 0.055
14 53681.24382 18.514 0.142
14 53683.27170 18.373 0.049
14 53685.33399 18.465 0.067
14 53690.34347 18.826 0.181
14 53692.33418 18.870 0.093
14 53727.23163 19.669 0.158
sn05hj
1 53676.20282 17.709 0.062
1 53676.20646 17.737 0.061
1 53679.24588 17.901 0.062
1 53680.30689 18.150 0.069
1 53680.31052 18.122 0.073
2 53676.19899 17.884 0.031
2 53676.21979 17.913 0.026
2 53679.24208 18.002 0.024
2 53680.31429 18.035 0.029
2 53682.20865 18.173 0.045
2 53686.23407 18.496 0.037
2 53693.30628 19.043 0.130
2 53695.25606 19.326 0.063
2 53697.17521 19.402 0.079
3 53676.21199 17.730 0.024
3 53679.23431 17.847 0.024
3 53680.30454 17.893 0.021
3 53682.20295 17.909 0.041
3 53686.22433 18.223 0.036
3 53692.28589 18.491 0.038
3 53693.29654 18.532 0.065
3 53695.24633 18.605 0.036
3 53696.24020 18.605 0.040
3 53697.16955 18.782 0.064
3 53707.30373 18.810 0.093
13 53676.21508 17.803 0.026
13 53679.23737 17.878 0.024
13 53680.30124 17.904 0.028
13 53682.20536 17.940 0.054
13 53691.32315 18.407 0.044
13 53692.28258 18.507 0.033
13 53693.29324 18.494 0.056
13 53695.24303 18.502 0.033
13 53696.23687 18.580 0.036
13 53697.17192 18.579 0.110
13 53707.30611 18.670 0.082
14 53676.21740 18.322 0.040
14 53679.23969 18.394 0.035
14 53680.30284 18.409 0.042
14 53682.20696 18.597 0.125
14 53686.22262 18.897 0.137
14 53692.28418 18.969 0.078
14 53693.29483 19.065 0.089
14 53695.24463 19.066 0.055
14 53696.23850 19.085 0.069
14 53697.17352 18.997 0.127
sn05hk
1 53675.21180 16.037 0.021
1 53675.21540 16.058 0.018
1 53679.20320 15.635 0.016
1 53680.25170 15.616 0.021
1 53680.25530 15.617 0.019
1 53681.13840 15.616 0.019
1 53681.14210 15.602 0.021
1 53681.15590 15.613 0.020
1 53681.15950 15.569 0.021
1 53682.27230 15.599 0.021
1 53682.27600 15.603 0.018
1 53683.16940 15.613 0.022
1 53689.18770 15.863 0.060
1 53689.19130 15.641 0.062
1 53692.23650 16.561 0.053
1 53692.24010 16.639 0.060
1 53696.19790 17.425 0.075
1 53696.20150 17.480 0.068
1 53707.20520 18.815 0.127
2 53675.20870 16.793 0.009
2 53676.17450 16.612 0.029
2 53676.24110 16.563 0.010
2 53678.26820 16.234 0.006
2 53679.19940 16.156 0.006
2 53680.25910 16.059 0.009
2 53681.14580 16.008 0.007
2 53681.16330 15.993 0.008
2 53682.11810 15.953 0.010
2 53682.26850 15.953 0.007
2 53683.15660 15.946 0.017
2 53683.17320 15.917 0.016
2 53688.26650 16.050 0.016
2 53689.18390 16.111 0.011
2 53691.26510 16.338 0.016
2 53692.24390 16.460 0.018
2 53693.26350 16.603 0.018
2 53694.24410 16.785 0.018
2 53695.21190 16.876 0.011
2 53696.20530 17.034 0.014
2 53697.15720 17.180 0.017
2 53701.13350 17.944 0.026
2 53705.07980 18.133 0.020
2 53707.20210 18.287 0.023
2 53709.16410 18.439 0.026
2 53728.10330 18.977 0.073
2 53729.15040 18.912 0.037
2 53731.13640 18.836 0.054
2 53752.09790 19.272 0.051
2 53758.12940 19.348 0.067
3 53675.20300 16.875 0.009
3 53676.16890 16.645 0.015
3 53676.23340 16.644 0.009
3 53677.25700 16.470 0.011
3 53678.25850 16.315 0.011
3 53679.19160 16.216 0.006
3 53680.24930 16.096 0.009
3 53681.13610 16.022 0.007
3 53681.15350 16.010 0.015
3 53682.11030 15.979 0.013
3 53682.26080 15.942 0.008
3 53683.14680 15.886 0.011
3 53683.16350 15.873 0.009
3 53688.25680 15.758 0.012
3 53689.17620 15.757 0.007
3 53690.25380 15.741 0.010
3 53691.25530 15.771 0.009
