#Standard System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   STDMAG dMAG
sn01C
4 52002.32090 15.449 0.020
4 52013.24962 16.037 0.025
4 52018.32762 16.257 0.035
4 52020.35316 16.324 0.020
4 52022.37161 16.396 0.020
4 52025.19359 16.496 0.025
4 52028.13009 16.573 0.025
4 52031.20588 16.674 0.031
4 52034.18715 16.756 0.057
4 52035.14111 16.795 0.028
4 52036.16411 16.823 0.026
4 52038.37348 16.882 0.038
4 52040.29265 16.975 0.024
4 52051.26359 17.235 0.027
4 52060.19623 17.455 0.166
5 51959.54309 16.498 0.058
5 51960.41126 16.128 0.028
5 51961.31060 15.900 0.022
5 51963.39938 15.516 0.191
5 51966.44343 15.083 0.021
5 51966.44343 15.082 0.020
5 51967.41390 15.036 0.028
5 51975.27497 14.967 0.043
5 51977.50184 15.052 0.049
5 51980.50898 15.115 0.023
5 51980.50898 15.113 0.020
5 51980.52215 15.123 0.020
5 51981.52345 15.163 0.021
5 51983.51034 15.268 0.021
5 51983.52287 15.262 0.020
5 51984.41697 15.317 0.021
5 51985.32448 15.366 0.022
5 51988.24972 15.442 0.020
5 51991.17078 15.448 0.024
5 51994.41836 15.357 0.025
5 51995.36469 15.351 0.020
5 52002.30503 15.232 0.149
5 52002.30503 15.223 0.149
5 52002.32270 15.236 0.024
5 52020.35494 16.100 0.020
5 52022.37340 16.200 0.022
5 52025.19538 16.296 0.021
5 52031.20769 16.533 0.028
5 52035.14325 16.693 0.037
5 52036.15155 16.741 0.049
5 52036.16660 16.706 0.033
5 52040.29446 16.909 0.036
5 52051.26537 17.269 0.029
sn01ah
2 52002.34491 17.702 0.022
2 52002.36223 17.727 0.027
2 52032.14931 19.781 0.056
2 52034.16060 19.866 0.071
2 52037.18672 20.015 0.054
2 52040.26889 20.430 0.077
2 52051.21612 20.857 0.107
3 52002.34855 17.683 0.017
3 52032.15295 18.675 0.025
3 52034.16424 18.843 0.031
3 52038.35392 19.029 0.109
3 52040.27253 19.205 0.042
3 52051.21976 19.696 0.059
3 52060.17412 20.338 0.114
4 52002.35127 17.712 0.023
4 52032.15569 18.340 0.026
4 52034.16694 18.376 0.027
4 52037.19310 18.470 0.029
4 52038.35662 18.555 0.075
4 52040.27525 18.515 0.030
4 52051.22247 19.098 0.040
4 52060.17684 19.490 0.076
5 52002.35378 17.916 0.041
5 52032.15818 18.725 0.048
5 52034.16943 18.671 0.052
5 52036.14873 18.669 0.050
5 52037.17925 18.586 0.060
5 52037.18024 18.600 0.059
5 52040.27774 18.619 0.046
5 52051.22494 19.258 0.076
5 52060.17933 19.740 0.175
sn01ay
1 52022.42715 16.449 0.051
1 52026.16162 16.571 0.056
1 52030.25066 16.881 0.043
1 52034.31075 17.344 0.040
1 52036.32281 17.592 0.045
1 52037.29863 17.752 0.050
1 52040.38023 17.933 0.043
1 52045.34269 18.470 0.076
1 52051.27613 18.515 0.110
1 52052.43035 18.759 0.098
1 52056.19054 18.930 0.096
1 52059.28594 19.295 0.116
1 52073.25666 19.696 0.131
1 52111.22964 19.946 0.174
2 52022.43041 16.739 0.014
2 52030.25394 17.009 0.013
2 52040.38350 17.708 0.020
2 52045.34581 18.141 0.020
2 52051.27940 18.466 0.022
2 52052.43362 18.642 0.023
2 52056.19382 18.783 0.026
2 52059.28919 19.039 0.029
2 52073.25993 19.353 0.029
2 52111.21722 20.063 0.156
2 52111.23366 19.913 0.096
2 52122.14581 19.986 0.107
3 52022.43288 16.614 0.014
3 52029.13855 16.734 0.023
3 52030.25642 16.726 0.014
3 52038.39411 16.965 0.029
3 52040.38597 17.082 0.022
3 52045.34823 17.304 0.016
3 52045.34823 17.306 0.014
3 52051.28189 17.513 0.015
3 52052.43610 17.547 0.018
3 52056.19628 17.731 0.019
3 52059.29168 17.899 0.028
3 52073.26242 18.345 0.025
3 52111.22039 19.053 0.042
3 52111.23684 19.065 0.063
3 52122.14899 19.346 0.110
4 52022.43466 16.561 0.013
4 52029.14037 16.661 0.014
4 52030.25822 16.686 0.021
4 52034.31831 16.804 0.021
4 52036.33039 16.834 0.013
4 52037.30617 16.887 0.015
4 52038.39590 16.896 0.046
4 52040.38775 16.894 0.016
4 52045.34997 17.020 0.019
4 52049.14150 17.032 0.014
4 52051.28369 17.095 0.023
4 52052.43791 17.122 0.022
4 52052.43791 17.109 0.021
4 52056.19808 17.245 0.016
4 52059.29347 17.415 0.024
4 52111.23934 18.986 0.090
5 52022.43609 16.769 0.018
5 52026.17062 16.747 0.027
5 52029.14182 16.808 0.020
5 52030.25966 16.855 0.025
5 52036.33185 17.005 0.025
5 52037.30762 17.019 0.031
5 52038.39734 17.040 0.060
5 52040.38920 17.007 0.026
5 52045.35134 16.987 0.048
5 52051.28514 16.933 0.024
5 52052.43935 16.923 0.032
5 52056.19953 16.967 0.029
5 52059.29491 17.079 0.050
5 52073.26564 17.601 0.062
5 52111.22468 18.694 0.095
5 52111.24113 18.662 0.098
sn01az
1 52034.39608 17.190 0.054
1 52037.33847 17.370 0.052
2 52034.39936 17.194 0.056
2 52036.34204 17.224 0.018
2 52037.34175 17.335 0.019
2 52038.40943 17.366 0.038
2 52040.41903 17.482 0.040
2 52051.37325 18.590 0.033
2 52081.42372 20.366 0.083
3 52034.40185 17.121 0.022
3 52036.34455 17.176 0.019
3 52038.41191 17.262 0.047
3 52040.42152 17.355 0.020
3 52051.37575 17.948 0.033
4 52034.40366 17.023 0.023
4 52036.34635 17.087 0.026
4 52037.33330 17.124 0.027
4 52037.33428 17.120 0.025
4 52037.34605 17.156 0.025
4 52040.42331 17.271 0.021
4 52051.37753 17.822 0.025
4 52081.42940 19.156 0.068
5 52034.40513 17.533 0.040
5 52036.34781 17.554 0.036
5 52037.34750 17.611 0.042
5 52040.42476 17.827 0.045
5 52051.37899 18.422 0.062
5 52081.43119 19.023 0.109
sn01bf
1 52047.38542 14.749 0.029
1 52050.45251 15.113 0.026
1 52051.41358 15.100 0.025
1 52053.43769 15.309 0.026
1 52056.33959 15.619 0.026
1 52059.29858 15.910 0.026
1 52075.25477 17.891 0.039
1 52081.44911 18.100 0.048
1 52169.26125 19.390 0.151
2 52047.38868 15.100 0.016
2 52050.45576 15.223 0.016
2 52051.41685 15.259 0.015
2 52053.44095 15.387 0.015
