    Velocity [km/s]        Density [g/cm^3]    
   5.34842320231357e+02    4.46628322517050e-01
   8.02263480347036e+02    4.58293413418499e-01
   1.06968464046271e+03    4.72218050749031e-01
   1.33710580057839e+03    4.79028178007040e-01
   1.60452696069407e+03    4.55872790288917e-01
   1.87194812080975e+03    4.88113443653812e-01
   2.13936928092543e+03    4.94632618567079e-01
   2.40679044104111e+03    4.85174916903098e-01
   2.67421160115679e+03    4.88939957663422e-01
   2.94163276127246e+03    4.89251057529951e-01
   3.20905392138814e+03    4.94783668814248e-01
   3.47647508150382e+03    4.88318333998036e-01
   3.74389624161950e+03    4.77198648857789e-01
   4.01131740173518e+03    4.77819210189730e-01
   4.27873856185086e+03    4.66712582707843e-01
   4.54615972196654e+03    4.60106390010394e-01
   4.81358088208221e+03    4.51260440842879e-01
   5.08100204219789e+03    4.45155668879027e-01
   5.34842320231357e+03    4.31144708042080e-01
   5.61584436242925e+03    4.18578914015985e-01
   5.88326552254493e+03    4.10075157950446e-01
   6.15068668266061e+03    3.95511444498172e-01
   6.41810784277628e+03    3.82652040401216e-01
   6.68552900289196e+03    3.68840945338975e-01
   6.95295016300764e+03    3.56210418081060e-01
   7.22037132312332e+03    3.43324195507227e-01
   7.48779248323900e+03    3.28538435039678e-01
   7.75521364335468e+03    3.14143980973515e-01
   8.02263480347036e+03    2.99630863939449e-01
   8.29005596358603e+03    2.83828008641487e-01
   8.55747712370171e+03    2.71726009302625e-01
   8.82489828381739e+03    2.57135979763759e-01
   9.09231944393307e+03    2.46297033459940e-01
   9.35974060404875e+03    2.37435548238870e-01
   9.62716176416443e+03    2.28588944597146e-01
   9.89458292428011e+03    2.26087859440364e-01
   1.01620040843958e+04    2.23643655026807e-01
   1.04294252445115e+04    2.26259719951167e-01
   1.06968464046271e+04    2.26824134442899e-01
   1.09642675647428e+04    2.19631274954180e-01
   1.12316887248585e+04    2.09773277917542e-01
   1.14991098849742e+04    1.99185590694451e-01
   1.17665310450899e+04    1.88100071281205e-01
   1.20339522052055e+04    1.75594303297689e-01
   1.23013733653212e+04    1.63450070776135e-01
   1.25687945254369e+04    1.48200884073978e-01
   1.28362156855526e+04    1.31900189112077e-01
   1.31036368456682e+04    1.16479649546113e-01
   1.33710580057839e+04    1.01805793722447e-01
   1.36384791658996e+04    8.82511132278315e-02
   1.39059003260153e+04    7.58916798377505e-02
   1.41733214861310e+04    6.47972982065810e-02
   1.44407426462466e+04    5.52561452696154e-02
   1.47081638063623e+04    4.63522808675846e-02
   1.49755849664780e+04    3.89454097573227e-02
   1.52430061265937e+04    3.31994094856477e-02
   1.55104272867094e+04    2.78502034976534e-02
   1.57778484468250e+04    2.36855770197979e-02
   1.60452696069407e+04    2.03393546028460e-02
   1.63126907670564e+04    1.75391357057489e-02
   1.65801119271721e+04    1.49888965907165e-02
   1.68475330872877e+04    1.26339193518417e-02
   1.71149542474034e+04    1.07127660406816e-02
   1.73823754075191e+04    9.13038292812079e-03
   1.76497965676348e+04    7.72667641471447e-03
   1.79172177277505e+04    6.54161952312916e-03
   1.81846388878661e+04    5.55677143853408e-03
   1.84520600479818e+04    4.69077200552329e-03
   1.87194812080975e+04    3.92215178557213e-03
   1.89869023682132e+04    3.12473451739914e-03
   1.92543235283289e+04    2.43458238370124e-03
   1.95217446884445e+04    1.90985705600085e-03
   1.97891658485602e+04    1.50844805482055e-03
   2.00565870086759e+04    1.20699702872056e-03
   2.03240081687916e+04    9.97023036646557e-04
   2.05914293289072e+04    8.35963797541900e-04
   2.08588504890229e+04    7.08358343820281e-04
   2.11262716491386e+04    6.04895869019696e-04
   2.13936928092543e+04    5.15312038440507e-04
   2.16611139693700e+04    4.40819732514889e-04
   2.19285351294856e+04    3.82204489355675e-04
   2.21959562896013e+04    3.34742602438165e-04
   2.24633774497170e+04    2.95582183042151e-04
   2.27307986098327e+04    2.62930925104877e-04
   2.29982197699484e+04    2.32870507293429e-04
   2.32656409300640e+04    2.05848412158295e-04
   2.35330620901797e+04    1.82405811184696e-04
   2.38004832502954e+04    1.61659758944923e-04
   2.40679044104111e+04    1.43703758843580e-04
